,prod_x_item_1,prod_x_item_2,rem_x_item_1,rem_x_item_2,rem_y_item_1,remarks
40,1,x,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
41,1,x,x,x*y,y^2,"zero behaviour of x at origin,no feedback,"
42,1,x,x,x^2,1,"zero behaviour of x at origin,not connected,"
43,1,x,x,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
44,1,x,x,x^2,y,"zero behaviour of x at origin,not connected,"
45,1,x,x,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
46,1,x,x,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
47,1,x,x,x^2,y^2,"zero behaviour of x at origin,not connected,"
48,1,x,x,y^2,1,"zero behaviour of x at origin,no feedback,"
49,1,x,x,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
50,1,x,x,y^2,y,"zero behaviour of x at origin,no feedback,"
51,1,x,x,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
52,1,x,x,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
53,1,x,x,y^2,y^2,"zero behaviour of x at origin,no feedback,"
54,1,x,y,x*y,1,"no feedback,"
55,1,x,y,x*y,x,"x=0 is a line of fixed points,"
56,1,x,y,x*y,y,"no feedback,"
57,1,x,y,x*y,x*y,"x=0 is a line of fixed points,"
58,1,x,y,x*y,x^2,"x=0 is a line of fixed points,"
59,1,x,y,x*y,y^2,"no feedback,"
60,1,x,y,x^2,1,"no feedback,"
61,1,x,y,x^2,x,"x=0 is a line of fixed points,"
62,1,x,y,x^2,y,"no feedback,"
63,1,x,y,x^2,x*y,"x=0 is a line of fixed points,"
64,1,x,y,x^2,x^2,"x=0 is a line of fixed points,"
65,1,x,y,x^2,y^2,"no feedback,"
66,1,x,y,y^2,1,"no feedback,"
67,1,x,y,y^2,x,"x=0 is a line of fixed points,"
68,1,x,y,y^2,y,"no feedback,"
69,1,x,y,y^2,x*y,"x=0 is a line of fixed points,"
70,1,x,y,y^2,x^2,"x=0 is a line of fixed points,"
71,1,x,y,y^2,y^2,"no feedback,"
72,1,x,x*y,x^2,1,"no feedback,"
73,1,x,x*y,x^2,x,"x=0 is a line of fixed points,"
74,1,x,x*y,x^2,y,"no feedback,"
75,1,x,x*y,x^2,x*y,"x=0 is a line of fixed points,"
76,1,x,x*y,x^2,x^2,"x=0 is a line of fixed points,"
77,1,x,x*y,x^2,y^2,"no feedback,"
78,1,x,x*y,y^2,1,"no feedback,"
79,1,x,x*y,y^2,x,"x=0 is a line of fixed points,"
80,1,x,x*y,y^2,y,"no feedback,"
81,1,x,x*y,y^2,x*y,"x=0 is a line of fixed points,"
82,1,x,x*y,y^2,x^2,"x=0 is a line of fixed points,"
83,1,x,x*y,y^2,y^2,"no feedback,"
84,1,x,x^2,y^2,1,"no feedback,"
85,1,x,x^2,y^2,x,"x=0 is a line of fixed points,"
86,1,x,x^2,y^2,y,"no feedback,"
87,1,x,x^2,y^2,x*y,"x=0 is a line of fixed points,"
88,1,x,x^2,y^2,x^2,"x=0 is a line of fixed points,"
89,1,x,x^2,y^2,y^2,"no feedback,"
90,1,y,1,x,1,"zero behaviour of x at origin,no feedback,"
91,1,y,1,x,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
92,1,y,1,x,y,"zero behaviour of x at origin,no feedback,"
93,1,y,1,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
94,1,y,1,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
95,1,y,1,x,y^2,"zero behaviour of x at origin,no feedback,"
96,1,y,1,y,1,"zero behaviour of x at origin,no feedback,"
97,1,y,1,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
98,1,y,1,y,y,"zero behaviour of x at origin,no feedback,"
99,1,y,1,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
100,1,y,1,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
101,1,y,1,y,y^2,"zero behaviour of x at origin,no feedback,"
102,1,y,1,x*y,1,"zero behaviour of x at origin,no feedback,"
103,1,y,1,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
104,1,y,1,x*y,y,"zero behaviour of x at origin,no feedback,"
105,1,y,1,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
106,1,y,1,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
107,1,y,1,x*y,y^2,"zero behaviour of x at origin,no feedback,"
108,1,y,1,x^2,1,"zero behaviour of x at origin,no feedback,"
109,1,y,1,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
110,1,y,1,x^2,y,"zero behaviour of x at origin,no feedback,"
111,1,y,1,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
112,1,y,1,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
113,1,y,1,x^2,y^2,"zero behaviour of x at origin,no feedback,"
114,1,y,1,y^2,1,"zero behaviour of x at origin,no feedback,"
115,1,y,1,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
116,1,y,1,y^2,y,"zero behaviour of x at origin,no feedback,"
117,1,y,1,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
118,1,y,1,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
119,1,y,1,y^2,y^2,"zero behaviour of x at origin,no feedback,"
120,1,y,x,y,1,"zero behaviour of x at origin,no feedback,"
121,1,y,x,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
122,1,y,x,y,y,"zero behaviour of x at origin,no feedback,"
123,1,y,x,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
124,1,y,x,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
125,1,y,x,y,y^2,"zero behaviour of x at origin,no feedback,"
126,1,y,x,x*y,1,"no feedback,"
127,1,y,x,x*y,x,"x=0 is a line of fixed points,"
128,1,y,x,x*y,y,"no feedback,"
129,1,y,x,x*y,x*y,"x=0 is a line of fixed points,"
130,1,y,x,x*y,x^2,"x=0 is a line of fixed points,"
131,1,y,x,x*y,y^2,"no feedback,"
132,1,y,x,x^2,1,"no feedback,"
133,1,y,x,x^2,x,"x=0 is a line of fixed points,"
134,1,y,x,x^2,y,"no feedback,"
135,1,y,x,x^2,x*y,"x=0 is a line of fixed points,"
136,1,y,x,x^2,x^2,"x=0 is a line of fixed points,"
137,1,y,x,x^2,y^2,"no feedback,"
138,1,y,x,y^2,1,"no feedback,"
139,1,y,x,y^2,x,"x=0 is a line of fixed points,"
140,1,y,x,y^2,y,"no feedback,"
141,1,y,x,y^2,x*y,"x=0 is a line of fixed points,"
142,1,y,x,y^2,x^2,"x=0 is a line of fixed points,"
143,1,y,x,y^2,y^2,"no feedback,"
144,1,y,y,x*y,1,"zero behaviour of x at origin,no feedback,"
145,1,y,y,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
146,1,y,y,x*y,y,"zero behaviour of x at origin,no feedback,"
147,1,y,y,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
148,1,y,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
149,1,y,y,x*y,y^2,"zero behaviour of x at origin,no feedback,"
150,1,y,y,x^2,1,"zero behaviour of x at origin,no feedback,"
151,1,y,y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
152,1,y,y,x^2,y,"zero behaviour of x at origin,no feedback,"
153,1,y,y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
154,1,y,y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
155,1,y,y,x^2,y^2,"zero behaviour of x at origin,no feedback,"
156,1,y,y,y^2,1,"zero behaviour of x at origin,no feedback,"
157,1,y,y,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
158,1,y,y,y^2,y,"zero behaviour of x at origin,no feedback,"
159,1,y,y,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
160,1,y,y,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
161,1,y,y,y^2,y^2,"zero behaviour of x at origin,no feedback,"
162,1,y,x*y,x^2,1,"no feedback,"
163,1,y,x*y,x^2,x,"x=0 is a line of fixed points,"
164,1,y,x*y,x^2,y,"no feedback,"
165,1,y,x*y,x^2,x*y,"x=0 is a line of fixed points,"
166,1,y,x*y,x^2,x^2,"x=0 is a line of fixed points,"
167,1,y,x*y,x^2,y^2,"no feedback,"
168,1,y,x*y,y^2,1,"no feedback,"
169,1,y,x*y,y^2,x,"x=0 is a line of fixed points,"
170,1,y,x*y,y^2,y,"no feedback,"
171,1,y,x*y,y^2,x*y,"x=0 is a line of fixed points,"
172,1,y,x*y,y^2,x^2,"x=0 is a line of fixed points,"
173,1,y,x*y,y^2,y^2,"no feedback,"
174,1,y,x^2,y^2,1,"no feedback,"
175,1,y,x^2,y^2,x,"x=0 is a line of fixed points,"
176,1,y,x^2,y^2,y,"no feedback,"
177,1,y,x^2,y^2,x*y,"x=0 is a line of fixed points,"
178,1,y,x^2,y^2,x^2,"x=0 is a line of fixed points,"
179,1,y,x^2,y^2,y^2,"no feedback,"
180,x,y,1,x,1,"zero behaviour of x at origin,no feedback,"
181,x,y,1,x,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
182,x,y,1,x,y,"zero behaviour of x at origin,no feedback,"
183,x,y,1,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
184,x,y,1,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
185,x,y,1,x,y^2,"zero behaviour of x at origin,no feedback,"
186,x,y,1,y,1,"zero behaviour of x at origin,no feedback,"
187,x,y,1,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
188,x,y,1,y,y,"zero behaviour of x at origin,no feedback,"
189,x,y,1,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
190,x,y,1,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
191,x,y,1,y,y^2,"zero behaviour of x at origin,no feedback,"
192,x,y,1,x*y,1,"no feedback,"
193,x,y,1,x*y,x,"x=0 is a line of fixed points,"
194,x,y,1,x*y,y,"no feedback,"
195,x,y,1,x*y,x*y,"x=0 is a line of fixed points,"
196,x,y,1,x*y,x^2,"x=0 is a line of fixed points,"
197,x,y,1,x*y,y^2,"no feedback,"
198,x,y,1,x^2,1,"no feedback,"
199,x,y,1,x^2,x,"x=0 is a line of fixed points,"
200,x,y,1,x^2,y,"no feedback,"
201,x,y,1,x^2,x*y,"x=0 is a line of fixed points,"
202,x,y,1,x^2,x^2,"x=0 is a line of fixed points,"
203,x,y,1,x^2,y^2,"no feedback,"
204,x,y,1,y^2,1,"no feedback,"
205,x,y,1,y^2,x,"x=0 is a line of fixed points,"
206,x,y,1,y^2,y,"no feedback,"
207,x,y,1,y^2,x*y,"x=0 is a line of fixed points,"
208,x,y,1,y^2,x^2,"x=0 is a line of fixed points,"
209,x,y,1,y^2,y^2,"no feedback,"
210,x,y,x,y,1,"zero behaviour of x at origin,no feedback,"
211,x,y,x,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
212,x,y,x,y,y,"zero behaviour of x at origin,no feedback,"
213,x,y,x,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
214,x,y,x,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
215,x,y,x,y,y^2,"zero behaviour of x at origin,no feedback,"
216,x,y,x,x*y,1,"zero behaviour of x at origin,no feedback,"
217,x,y,x,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
218,x,y,x,x*y,y,"zero behaviour of x at origin,no feedback,"
219,x,y,x,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
220,x,y,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
221,x,y,x,x*y,y^2,"zero behaviour of x at origin,no feedback,"
222,x,y,x,x^2,1,"zero behaviour of x at origin,no feedback,"
223,x,y,x,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
224,x,y,x,x^2,y,"zero behaviour of x at origin,no feedback,"
225,x,y,x,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
226,x,y,x,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
227,x,y,x,x^2,y^2,"zero behaviour of x at origin,no feedback,"
228,x,y,x,y^2,1,"zero behaviour of x at origin,no feedback,"
229,x,y,x,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
230,x,y,x,y^2,y,"zero behaviour of x at origin,no feedback,"
231,x,y,x,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
232,x,y,x,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
233,x,y,x,y^2,y^2,"zero behaviour of x at origin,no feedback,"
234,x,y,y,x*y,1,"zero behaviour of x at origin,no feedback,"
235,x,y,y,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
236,x,y,y,x*y,y,"zero behaviour of x at origin,no feedback,"
237,x,y,y,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
238,x,y,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
239,x,y,y,x*y,y^2,"zero behaviour of x at origin,no feedback,"
240,x,y,y,x^2,1,"zero behaviour of x at origin,no feedback,"
241,x,y,y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
242,x,y,y,x^2,y,"zero behaviour of x at origin,no feedback,"
243,x,y,y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
244,x,y,y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
245,x,y,y,x^2,y^2,"zero behaviour of x at origin,no feedback,"
246,x,y,y,y^2,1,"zero behaviour of x at origin,no feedback,"
247,x,y,y,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
248,x,y,y,y^2,y,"zero behaviour of x at origin,no feedback,"
249,x,y,y,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
250,x,y,y,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
251,x,y,y,y^2,y^2,"zero behaviour of x at origin,no feedback,"
252,x,y,x*y,x^2,1,"no feedback,"
253,x,y,x*y,x^2,x,"x=0 is a line of fixed points,"
254,x,y,x*y,x^2,y,"no feedback,"
255,x,y,x*y,x^2,x*y,"x=0 is a line of fixed points,"
256,x,y,x*y,x^2,x^2,"x=0 is a line of fixed points,"
257,x,y,x*y,x^2,y^2,"no feedback,"
258,x,y,x*y,y^2,1,"no feedback,"
259,x,y,x*y,y^2,x,"x=0 is a line of fixed points,"
260,x,y,x*y,y^2,y,"no feedback,"
261,x,y,x*y,y^2,x*y,"x=0 is a line of fixed points,"
262,x,y,x*y,y^2,x^2,"x=0 is a line of fixed points,"
263,x,y,x*y,y^2,y^2,"no feedback,"
264,x,y,x^2,y^2,1,"no feedback,"
265,x,y,x^2,y^2,x,"x=0 is a line of fixed points,"
266,x,y,x^2,y^2,y,"no feedback,"
267,x,y,x^2,y^2,x*y,"x=0 is a line of fixed points,"
268,x,y,x^2,y^2,x^2,"x=0 is a line of fixed points,"
269,x,y,x^2,y^2,y^2,"no feedback,"
