,prod_x_item_1,rem_x_item_1,rem_x_item_2,rem_y_item_1,rem_y_item_2,remarks,parameter_range
66,1,1,y^2,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,",
67,1,1,y^2,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
68,1,1,y^2,x,y^2,"zero behaviour of x at origin,",
69,1,1,y^2,y,x*y,"zero behaviour of x at origin,",
70,1,1,y^2,y,x^2,"zero behaviour of x at origin,",
71,1,1,y^2,y,y^2,"zero behaviour of x at origin,no feedback,",
72,1,1,y^2,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
73,1,1,y^2,x*y,y^2,"zero behaviour of x at origin,",
74,1,1,y^2,x^2,y^2,"zero behaviour of x at origin,",
75,1,x,y,1,x,"0 is not stable,",
76,1,x,y,1,y,"no feedback,",
77,1,x,y,1,x*y,"0 is not stable,",
78,1,x,y,1,x^2,"0 is not stable,",
79,1,x,y,1,y^2,"no feedback,",
80,1,x,y,x,y,"0 is not stable,",
81,1,x,y,x,x*y,"x=0 is a line of fixed points,",
82,1,x,y,x,x^2,"x=0 is a line of fixed points,",
83,1,x,y,x,y^2,"0 is not stable,",
84,1,x,y,y,x*y,"0 is not stable,",
85,1,x,y,y,x^2,"0 is not stable,",
86,1,x,y,y,y^2,"no feedback,",
87,1,x,y,x*y,x^2,"x=0 is a line of fixed points,",
88,1,x,y,x*y,y^2,"0 is not stable,",
89,1,x,y,x^2,y^2,"0 is not stable,",
90,1,x,x*y,1,x,"0 is not stable,",
91,1,x,x*y,1,y,"no feedback,",
92,1,x,x*y,1,x*y,"0 is not stable,",
93,1,x,x*y,1,x^2,"0 is not stable,",
94,1,x,x*y,1,y^2,"no feedback,",
95,1,x,x*y,x,y,"0 is not stable,",
96,1,x,x*y,x,x*y,"x=0 is a line of fixed points,",
97,1,x,x*y,x,x^2,"x=0 is a line of fixed points,",
98,1,x,x*y,x,y^2,"0 is not stable,",
99,1,x,x*y,y,x*y,"0 is not stable,",
100,1,x,x*y,y,x^2,"0 is not stable,",
101,1,x,x*y,y,y^2,"no feedback,",
102,1,x,x*y,x*y,x^2,"x=0 is a line of fixed points,",
103,1,x,x*y,x*y,y^2,"0 is not stable,",
104,1,x,x*y,x^2,y^2,"0 is not stable,",
105,1,x,x^2,1,x,"no feedback,",
106,1,x,x^2,1,y,"not connected,",
107,1,x,x^2,1,x*y,"no feedback,",
108,1,x,x^2,1,x^2,"no feedback,",
109,1,x,x^2,1,y^2,"not connected,",
110,1,x,x^2,x,y,"no feedback,",
111,1,x,x^2,x,x*y,"x=0 is a line of fixed points,no feedback,",
112,1,x,x^2,x,x^2,"x=0 is a line of fixed points,no feedback,",
113,1,x,x^2,x,y^2,"no feedback,",
114,1,x,x^2,y,x*y,"no feedback,",
115,1,x,x^2,y,x^2,"no feedback,",
116,1,x,x^2,y,y^2,"not connected,",
117,1,x,x^2,x*y,x^2,"x=0 is a line of fixed points,no feedback,",
118,1,x,x^2,x*y,y^2,"no feedback,",
119,1,x,x^2,x^2,y^2,"no feedback,",
120,1,x,y^2,1,x,"0 is not stable,",
121,1,x,y^2,1,y,"no feedback,",
122,1,x,y^2,1,x*y,"0 is not stable,",
123,1,x,y^2,1,x^2,"0 is not stable,",
124,1,x,y^2,1,y^2,"no feedback,",
125,1,x,y^2,x,y,"0 is not stable,",
126,1,x,y^2,x,x*y,"x=0 is a line of fixed points,",
127,1,x,y^2,x,x^2,"x=0 is a line of fixed points,",
128,1,x,y^2,x,y^2,"0 is not stable,",
129,1,x,y^2,y,x*y,"0 is not stable,",
130,1,x,y^2,y,x^2,"0 is not stable,",
131,1,x,y^2,y,y^2,"no feedback,",
132,1,x,y^2,x*y,x^2,"x=0 is a line of fixed points,",
133,1,x,y^2,x*y,y^2,"0 is not stable,",
134,1,x,y^2,x^2,y^2,"0 is not stable,",
135,1,y,x*y,1,x,"0 is not stable,",
136,1,y,x*y,1,y,"no feedback,",
137,1,y,x*y,1,x*y,"0 is not stable,",
138,1,y,x*y,1,x^2,"0 is not stable,",
139,1,y,x*y,1,y^2,"no feedback,",
140,1,y,x*y,x,y,"0 is not stable,",
141,1,y,x*y,x,x*y,"x=0 is a line of fixed points,",
142,1,y,x*y,x,x^2,"x=0 is a line of fixed points,",
143,1,y,x*y,x,y^2,"0 is not stable,",
144,1,y,x*y,y,x*y,"0 is not stable,",
145,1,y,x*y,y,x^2,"0 is not stable,",
146,1,y,x*y,y,y^2,"no feedback,",
147,1,y,x*y,x*y,x^2,"x=0 is a line of fixed points,",
148,1,y,x*y,x*y,y^2,"0 is not stable,",
149,1,y,x*y,x^2,y^2,"0 is not stable,",
150,1,y,x^2,1,x,"0 is not stable,",
151,1,y,x^2,1,y,"no feedback,",
152,1,y,x^2,1,x*y,"0 is not stable,",
153,1,y,x^2,1,x^2,"0 is not stable,",
154,1,y,x^2,1,y^2,"no feedback,",
155,1,y,x^2,x,y,"0 is not stable,",
156,1,y,x^2,x,x*y,"x=0 is a line of fixed points,",
157,1,y,x^2,x,x^2,"x=0 is a line of fixed points,",
158,1,y,x^2,x,y^2,"0 is not stable,",
159,1,y,x^2,y,x*y,"0 is not stable,",
160,1,y,x^2,y,x^2,"0 is not stable,",
161,1,y,x^2,y,y^2,"no feedback,",
162,1,y,x^2,x*y,x^2,"x=0 is a line of fixed points,",
163,1,y,x^2,x*y,y^2,"0 is not stable,",
164,1,y,x^2,x^2,y^2,"0 is not stable,",
165,1,y,y^2,1,x,"0 is not stable,",
166,1,y,y^2,1,y,"no feedback,",
167,1,y,y^2,1,x*y,"0 is not stable,",
168,1,y,y^2,1,x^2,"0 is not stable,",
169,1,y,y^2,1,y^2,"no feedback,",
170,1,y,y^2,x,y,"0 is not stable,",
171,1,y,y^2,x,x*y,"x=0 is a line of fixed points,",
172,1,y,y^2,x,x^2,"x=0 is a line of fixed points,",
173,1,y,y^2,x,y^2,"0 is not stable,",
174,1,y,y^2,y,x*y,"0 is not stable,",
175,1,y,y^2,y,x^2,"0 is not stable,",
176,1,y,y^2,y,y^2,"no feedback,",
177,1,y,y^2,x*y,x^2,"x=0 is a line of fixed points,",
178,1,y,y^2,x*y,y^2,"0 is not stable,",
179,1,y,y^2,x^2,y^2,"0 is not stable,",
180,1,x*y,x^2,1,x,"0 is not stable,",
181,1,x*y,x^2,1,y,"no feedback,",
182,1,x*y,x^2,1,x*y,"0 is not stable,",
183,1,x*y,x^2,1,x^2,"0 is not stable,",
184,1,x*y,x^2,1,y^2,"no feedback,",
185,1,x*y,x^2,x,y,"0 is not stable,",
186,1,x*y,x^2,x,x*y,"x=0 is a line of fixed points,",
187,1,x*y,x^2,x,x^2,"x=0 is a line of fixed points,",
188,1,x*y,x^2,x,y^2,"0 is not stable,",
189,1,x*y,x^2,y,x*y,"0 is not stable,",
190,1,x*y,x^2,y,x^2,"0 is not stable,",
191,1,x*y,x^2,y,y^2,"no feedback,",
192,1,x*y,x^2,x*y,x^2,"x=0 is a line of fixed points,",
193,1,x*y,x^2,x*y,y^2,"0 is not stable,",
194,1,x*y,x^2,x^2,y^2,"0 is not stable,",
195,1,x*y,y^2,1,x,"0 is not stable,",
196,1,x*y,y^2,1,y,"no feedback,",
197,1,x*y,y^2,1,x*y,"0 is not stable,",
198,1,x*y,y^2,1,x^2,"0 is not stable,",
199,1,x*y,y^2,1,y^2,"no feedback,",
200,1,x*y,y^2,x,y,"0 is not stable,",
201,1,x*y,y^2,x,x*y,"x=0 is a line of fixed points,",
202,1,x*y,y^2,x,x^2,"x=0 is a line of fixed points,",
203,1,x*y,y^2,x,y^2,"0 is not stable,",
204,1,x*y,y^2,y,x*y,"0 is not stable,",
205,1,x*y,y^2,y,x^2,"0 is not stable,",
206,1,x*y,y^2,y,y^2,"no feedback,",
207,1,x*y,y^2,x*y,x^2,"x=0 is a line of fixed points,",
208,1,x*y,y^2,x*y,y^2,"0 is not stable,",
209,1,x*y,y^2,x^2,y^2,"0 is not stable,",
210,1,x^2,y^2,1,x,"0 is not stable,",
211,1,x^2,y^2,1,y,"no feedback,",
212,1,x^2,y^2,1,x*y,"0 is not stable,",
213,1,x^2,y^2,1,x^2,"0 is not stable,",
214,1,x^2,y^2,1,y^2,"no feedback,",
215,1,x^2,y^2,x,y,"0 is not stable,",
216,1,x^2,y^2,x,x*y,"x=0 is a line of fixed points,",
217,1,x^2,y^2,x,x^2,"x=0 is a line of fixed points,",
218,1,x^2,y^2,x,y^2,"0 is not stable,",
219,1,x^2,y^2,y,x*y,"0 is not stable,",
220,1,x^2,y^2,y,x^2,"0 is not stable,",
221,1,x^2,y^2,y,y^2,"no feedback,",
222,1,x^2,y^2,x*y,x^2,"x=0 is a line of fixed points,",
223,1,x^2,y^2,x*y,y^2,"0 is not stable,",
224,1,x^2,y^2,x^2,y^2,"0 is not stable,",
225,x,1,x,1,x,"zero behaviour of x at origin,no feedback,",
226,x,1,x,1,y,"zero behaviour of x at origin,not connected,",
227,x,1,x,1,x*y,"zero behaviour of x at origin,no feedback,",
228,x,1,x,1,x^2,"zero behaviour of x at origin,no feedback,",
229,x,1,x,1,y^2,"zero behaviour of x at origin,not connected,",
230,x,1,x,x,y,"zero behaviour of x at origin,no feedback,",
231,x,1,x,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
232,x,1,x,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
233,x,1,x,x,y^2,"zero behaviour of x at origin,no feedback,",
234,x,1,x,y,x*y,"zero behaviour of x at origin,no feedback,",
235,x,1,x,y,x^2,"zero behaviour of x at origin,no feedback,",
236,x,1,x,y,y^2,"zero behaviour of x at origin,not connected,",
237,x,1,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
238,x,1,x,x*y,y^2,"zero behaviour of x at origin,no feedback,",
239,x,1,x,x^2,y^2,"zero behaviour of x at origin,no feedback,",
240,x,1,y,1,x,"another stable fp at all parameter values,",
241,x,1,y,1,y,"no feedback,another stable fp at all parameter values,",
242,x,1,y,1,x*y,"another stable fp at all parameter values,",
243,x,1,y,1,x^2,"another stable fp at all parameter values,",
244,x,1,y,1,y^2,"no feedback,another stable fp at all parameter values,",
245,x,1,y,x,y,"another stable fp at all parameter values,",
246,x,1,y,x,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,",
247,x,1,y,x,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,",
248,x,1,y,x,y^2,"another stable fp at all parameter values,",
249,x,1,y,y,x*y,"another stable fp at all parameter values,",
250,x,1,y,y,x^2,"another stable fp at all parameter values,",
251,x,1,y,y,y^2,"no feedback,another stable fp at all parameter values,",
252,x,1,y,x*y,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,",
253,x,1,y,x*y,y^2,"another stable fp at all parameter values,",
254,x,1,y,x^2,y^2,"another stable fp at all parameter values,",
255,x,1,x*y,1,x,"another stable fp at all parameter values,",
256,x,1,x*y,1,y,"no feedback,another stable fp at all parameter values,",
257,x,1,x*y,1,x*y,"another stable fp at all parameter values,",
258,x,1,x*y,1,x^2,"another stable fp at all parameter values,",
259,x,1,x*y,1,y^2,"no feedback,another stable fp at all parameter values,",
260,x,1,x*y,x,y,"another stable fp at all parameter values,",
261,x,1,x*y,x,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,",
262,x,1,x*y,x,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,",
263,x,1,x*y,x,y^2,"another stable fp at all parameter values,",
264,x,1,x*y,y,x*y,"another stable fp at all parameter values,",
265,x,1,x*y,y,x^2,"another stable fp at all parameter values,",
266,x,1,x*y,y,y^2,"no feedback,another stable fp at all parameter values,",
267,x,1,x*y,x*y,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,",
268,x,1,x*y,x*y,y^2,"another stable fp at all parameter values,",
269,x,1,x*y,x^2,y^2,"another stable fp at all parameter values,",
270,x,1,x^2,1,x,"no feedback,another stable fp at all parameter values,",
271,x,1,x^2,1,y,"not connected,another stable fp at all parameter values,",
272,x,1,x^2,1,x*y,"no feedback,another stable fp at all parameter values,",
273,x,1,x^2,1,x^2,"no feedback,another stable fp at all parameter values,",
274,x,1,x^2,1,y^2,"not connected,another stable fp at all parameter values,",
275,x,1,x^2,x,y,"no feedback,another stable fp at all parameter values,",
276,x,1,x^2,x,x*y,"x=0 is a line of fixed points,no feedback,another stable fp at all parameter values,",
277,x,1,x^2,x,x^2,"x=0 is a line of fixed points,no feedback,another stable fp at all parameter values,",
278,x,1,x^2,x,y^2,"no feedback,another stable fp at all parameter values,",
279,x,1,x^2,y,x*y,"no feedback,another stable fp at all parameter values,",
280,x,1,x^2,y,x^2,"no feedback,another stable fp at all parameter values,",
281,x,1,x^2,y,y^2,"not connected,another stable fp at all parameter values,",
282,x,1,x^2,x*y,x^2,"x=0 is a line of fixed points,no feedback,another stable fp at all parameter values,",
283,x,1,x^2,x*y,y^2,"no feedback,another stable fp at all parameter values,",
284,x,1,x^2,x^2,y^2,"no feedback,another stable fp at all parameter values,",
285,x,1,y^2,1,x,"another stable fp at all parameter values,",
286,x,1,y^2,1,y,"no feedback,another stable fp at all parameter values,",
287,x,1,y^2,1,x*y,"another stable fp at all parameter values,",
288,x,1,y^2,1,x^2,"another stable fp at all parameter values,",
289,x,1,y^2,1,y^2,"no feedback,another stable fp at all parameter values,",
290,x,1,y^2,x,y,"another stable fp at all parameter values,",
291,x,1,y^2,x,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,",
292,x,1,y^2,x,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,",
293,x,1,y^2,x,y^2,"another stable fp at all parameter values,",
294,x,1,y^2,y,x*y,"another stable fp at all parameter values,",
295,x,1,y^2,y,x^2,"another stable fp at all parameter values,",
296,x,1,y^2,y,y^2,"no feedback,another stable fp at all parameter values,",
297,x,1,y^2,x*y,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,",
298,x,1,y^2,x*y,y^2,"another stable fp at all parameter values,",
299,x,1,y^2,x^2,y^2,"another stable fp at all parameter values,",
300,x,x,y,1,x,"zero behaviour of x at origin,",
301,x,x,y,1,y,"zero behaviour of x at origin,no feedback,",
302,x,x,y,1,x*y,"zero behaviour of x at origin,",
303,x,x,y,1,x^2,"zero behaviour of x at origin,",
304,x,x,y,1,y^2,"zero behaviour of x at origin,no feedback,",
305,x,x,y,x,y,"zero behaviour of x at origin,",
306,x,x,y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,",
307,x,x,y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
308,x,x,y,x,y^2,"zero behaviour of x at origin,",
309,x,x,y,y,x*y,"zero behaviour of x at origin,",
310,x,x,y,y,x^2,"zero behaviour of x at origin,",
311,x,x,y,y,y^2,"zero behaviour of x at origin,no feedback,",
312,x,x,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
313,x,x,y,x*y,y^2,"zero behaviour of x at origin,",
314,x,x,y,x^2,y^2,"zero behaviour of x at origin,",
315,x,x,x*y,1,x,"zero behaviour of x at origin,",
316,x,x,x*y,1,y,"zero behaviour of x at origin,no feedback,",
317,x,x,x*y,1,x*y,"zero behaviour of x at origin,",
318,x,x,x*y,1,x^2,"zero behaviour of x at origin,",
319,x,x,x*y,1,y^2,"zero behaviour of x at origin,no feedback,",
320,x,x,x*y,x,y,"zero behaviour of x at origin,",
321,x,x,x*y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,",
322,x,x,x*y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
323,x,x,x*y,x,y^2,"zero behaviour of x at origin,",
324,x,x,x*y,y,x*y,"zero behaviour of x at origin,",
325,x,x,x*y,y,x^2,"zero behaviour of x at origin,",
326,x,x,x*y,y,y^2,"zero behaviour of x at origin,no feedback,",
327,x,x,x*y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
328,x,x,x*y,x*y,y^2,"zero behaviour of x at origin,",
329,x,x,x*y,x^2,y^2,"zero behaviour of x at origin,",
330,x,x,x^2,1,x,"zero behaviour of x at origin,no feedback,",
331,x,x,x^2,1,y,"zero behaviour of x at origin,not connected,",
332,x,x,x^2,1,x*y,"zero behaviour of x at origin,no feedback,",
333,x,x,x^2,1,x^2,"zero behaviour of x at origin,no feedback,",
334,x,x,x^2,1,y^2,"zero behaviour of x at origin,not connected,",
335,x,x,x^2,x,y,"zero behaviour of x at origin,no feedback,",
336,x,x,x^2,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
337,x,x,x^2,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
338,x,x,x^2,x,y^2,"zero behaviour of x at origin,no feedback,",
339,x,x,x^2,y,x*y,"zero behaviour of x at origin,no feedback,",
340,x,x,x^2,y,x^2,"zero behaviour of x at origin,no feedback,",
341,x,x,x^2,y,y^2,"zero behaviour of x at origin,not connected,",
342,x,x,x^2,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
343,x,x,x^2,x*y,y^2,"zero behaviour of x at origin,no feedback,",
344,x,x,x^2,x^2,y^2,"zero behaviour of x at origin,no feedback,",
345,x,x,y^2,1,x,"zero behaviour of x at origin,",
346,x,x,y^2,1,y,"zero behaviour of x at origin,no feedback,",
347,x,x,y^2,1,x*y,"zero behaviour of x at origin,",
348,x,x,y^2,1,x^2,"zero behaviour of x at origin,",
349,x,x,y^2,1,y^2,"zero behaviour of x at origin,no feedback,",
350,x,x,y^2,x,y,"zero behaviour of x at origin,",
351,x,x,y^2,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,",
352,x,x,y^2,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
353,x,x,y^2,x,y^2,"zero behaviour of x at origin,",
354,x,x,y^2,y,x*y,"zero behaviour of x at origin,",
355,x,x,y^2,y,x^2,"zero behaviour of x at origin,",
356,x,x,y^2,y,y^2,"zero behaviour of x at origin,no feedback,",
357,x,x,y^2,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
358,x,x,y^2,x*y,y^2,"zero behaviour of x at origin,",
359,x,x,y^2,x^2,y^2,"zero behaviour of x at origin,",
360,x,y,x*y,1,x,"0 is not stable,",
361,x,y,x*y,1,y,"no feedback,",
362,x,y,x*y,1,x*y,"0 is not stable,",
363,x,y,x*y,1,x^2,"0 is not stable,",
364,x,y,x*y,1,y^2,"no feedback,",
365,x,y,x*y,x,y,"0 is not stable,",
366,x,y,x*y,x,x*y,"x=0 is a line of fixed points,",
367,x,y,x*y,x,x^2,"x=0 is a line of fixed points,",
368,x,y,x*y,x,y^2,"0 is not stable,",
369,x,y,x*y,y,x*y,"0 is not stable,",
370,x,y,x*y,y,x^2,"0 is not stable,",
371,x,y,x*y,y,y^2,"no feedback,",
372,x,y,x*y,x*y,x^2,"x=0 is a line of fixed points,",
373,x,y,x*y,x*y,y^2,"0 is not stable,",
374,x,y,x*y,x^2,y^2,"0 is not stable,",
375,x,y,x^2,1,x,"0 is not stable,",
376,x,y,x^2,1,y,"no feedback,0 is not stable,",
377,x,y,x^2,1,x*y,"0 is not stable,",
378,x,y,x^2,1,x^2,"0 is not stable,",
379,x,y,x^2,1,y^2,"no feedback,0 is not stable,",
380,x,y,x^2,x,y,"0 is not stable,",
381,x,y,x^2,x,x*y,"x=0 is a line of fixed points,0 is not stable,",
382,x,y,x^2,x,x^2,"x=0 is a line of fixed points,0 is not stable,",
383,x,y,x^2,x,y^2,"0 is not stable,",
384,x,y,x^2,y,x*y,"0 is not stable,",
385,x,y,x^2,y,x^2,"0 is not stable,",
386,x,y,x^2,y,y^2,"no feedback,0 is not stable,",
387,x,y,x^2,x*y,x^2,"x=0 is a line of fixed points,0 is not stable,",
388,x,y,x^2,x*y,y^2,"0 is not stable,",
389,x,y,x^2,x^2,y^2,"0 is not stable,",
390,x,y,y^2,1,x,"0 is not stable,",
391,x,y,y^2,1,y,"no feedback,",
392,x,y,y^2,1,x*y,"0 is not stable,",
393,x,y,y^2,1,x^2,"0 is not stable,",
394,x,y,y^2,1,y^2,"no feedback,",
395,x,y,y^2,x,y,"0 is not stable,",
396,x,y,y^2,x,x*y,"x=0 is a line of fixed points,",
397,x,y,y^2,x,x^2,"x=0 is a line of fixed points,",
398,x,y,y^2,x,y^2,"0 is not stable,",
399,x,y,y^2,y,x*y,"0 is not stable,",
400,x,y,y^2,y,x^2,"0 is not stable,",
401,x,y,y^2,y,y^2,"no feedback,",
402,x,y,y^2,x*y,x^2,"x=0 is a line of fixed points,",
403,x,y,y^2,x*y,y^2,"0 is not stable,",
404,x,y,y^2,x^2,y^2,"0 is not stable,",
405,x,x*y,x^2,1,x,"0 is not stable,",
406,x,x*y,x^2,1,y,"no feedback,0 is not stable,",
407,x,x*y,x^2,1,x*y,"0 is not stable,",
408,x,x*y,x^2,1,x^2,"0 is not stable,",
409,x,x*y,x^2,1,y^2,"no feedback,0 is not stable,",
410,x,x*y,x^2,x,y,"0 is not stable,",
411,x,x*y,x^2,x,x*y,"x=0 is a line of fixed points,0 is not stable,",
412,x,x*y,x^2,x,x^2,"x=0 is a line of fixed points,0 is not stable,",
413,x,x*y,x^2,x,y^2,"0 is not stable,",
414,x,x*y,x^2,y,x*y,"0 is not stable,",
415,x,x*y,x^2,y,x^2,"0 is not stable,",
416,x,x*y,x^2,y,y^2,"no feedback,0 is not stable,",
417,x,x*y,x^2,x*y,x^2,"x=0 is a line of fixed points,0 is not stable,",
418,x,x*y,x^2,x*y,y^2,"0 is not stable,",
419,x,x*y,x^2,x^2,y^2,"0 is not stable,",
420,x,x*y,y^2,1,x,"0 is not stable,",
421,x,x*y,y^2,1,y,"no feedback,",
422,x,x*y,y^2,1,x*y,"0 is not stable,",
423,x,x*y,y^2,1,x^2,"0 is not stable,",
424,x,x*y,y^2,1,y^2,"no feedback,",
425,x,x*y,y^2,x,y,"0 is not stable,",
426,x,x*y,y^2,x,x*y,"x=0 is a line of fixed points,",
427,x,x*y,y^2,x,x^2,"x=0 is a line of fixed points,",
428,x,x*y,y^2,x,y^2,"0 is not stable,",
429,x,x*y,y^2,y,x*y,"0 is not stable,",
430,x,x*y,y^2,y,x^2,"0 is not stable,",
431,x,x*y,y^2,y,y^2,"no feedback,",
432,x,x*y,y^2,x*y,x^2,"x=0 is a line of fixed points,",
433,x,x*y,y^2,x*y,y^2,"0 is not stable,",
434,x,x*y,y^2,x^2,y^2,"0 is not stable,",
435,x,x^2,y^2,1,x,"0 is not stable,",
436,x,x^2,y^2,1,y,"no feedback,0 is not stable,",
437,x,x^2,y^2,1,x*y,"0 is not stable,",
438,x,x^2,y^2,1,x^2,"0 is not stable,",
439,x,x^2,y^2,1,y^2,"no feedback,0 is not stable,",
440,x,x^2,y^2,x,y,"0 is not stable,",
441,x,x^2,y^2,x,x*y,"x=0 is a line of fixed points,0 is not stable,",
442,x,x^2,y^2,x,x^2,"x=0 is a line of fixed points,0 is not stable,",
