,prod_x_item_1,prod_x_item_2,rem_x_item_1,prod_y_item_1,rem_y_item_1,remarks
143,1,y,x,y,y^2,"no feedback,"
144,1,y,y,1,1,"zero behaviour of x at origin,zero behaviour of y at origin,no feedback,"
145,1,y,y,1,x,"zero behaviour of x at origin,"
146,1,y,y,1,y,"zero behaviour of x at origin,no feedback,"
147,1,y,y,1,x*y,"zero behaviour of x at origin,"
148,1,y,y,1,x^2,"zero behaviour of x at origin,"
149,1,y,y,1,y^2,"zero behaviour of x at origin,no feedback,"
150,1,y,y,x,1,"zero behaviour of x at origin,"
151,1,y,y,x,x,"zero behaviour of x at origin,zero behaviour of y at origin,x=0 is a line of fixed points,"
152,1,y,y,x,y,"zero behaviour of x at origin,"
153,1,y,y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
154,1,y,y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
155,1,y,y,x,y^2,"zero behaviour of x at origin,"
156,1,y,y,y,1,"zero behaviour of x at origin,no feedback,"
157,1,y,y,y,x,"zero behaviour of x at origin,"
158,1,y,y,y,y,"zero behaviour of x at origin,zero behaviour of y at origin,no feedback,"
159,1,y,y,y,x*y,"zero behaviour of x at origin,"
160,1,y,y,y,x^2,"zero behaviour of x at origin,"
161,1,y,y,y,y^2,"zero behaviour of x at origin,no feedback,"
162,1,y,x*y,1,1,"zero behaviour of y at origin,no feedback,"
163,1,y,x*y,1,x,"0 is not stable,"
164,1,y,x*y,1,y,"no feedback,"
165,1,y,x*y,1,x*y,"0 is not stable,"
166,1,y,x*y,1,x^2,"0 is not stable,"
167,1,y,x*y,1,y^2,"no feedback,"
168,1,y,x*y,x,1,"0 is not stable,"
169,1,y,x*y,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
170,1,y,x*y,x,y,"0 is not stable,"
171,1,y,x*y,x,x*y,"x=0 is a line of fixed points,"
172,1,y,x*y,x,x^2,"x=0 is a line of fixed points,"
173,1,y,x*y,x,y^2,"0 is not stable,"
174,1,y,x*y,y,1,"no feedback,"
175,1,y,x*y,y,x,"0 is not stable,"
176,1,y,x*y,y,y,"zero behaviour of y at origin,no feedback,"
177,1,y,x*y,y,x*y,"0 is not stable,"
178,1,y,x*y,y,x^2,"0 is not stable,"
179,1,y,x*y,y,y^2,"no feedback,"
180,1,y,x^2,1,1,"zero behaviour of y at origin,no feedback,"
181,1,y,x^2,1,x,"0 is not stable,"
182,1,y,x^2,1,y,"no feedback,"
183,1,y,x^2,1,x*y,"0 is not stable,"
184,1,y,x^2,1,x^2,"0 is not stable,"
185,1,y,x^2,1,y^2,"no feedback,"
186,1,y,x^2,x,1,"0 is not stable,"
187,1,y,x^2,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
188,1,y,x^2,x,y,"0 is not stable,"
189,1,y,x^2,x,x*y,"x=0 is a line of fixed points,"
190,1,y,x^2,x,x^2,"x=0 is a line of fixed points,"
191,1,y,x^2,x,y^2,"0 is not stable,"
192,1,y,x^2,y,1,"no feedback,"
193,1,y,x^2,y,x,"0 is not stable,"
194,1,y,x^2,y,y,"zero behaviour of y at origin,no feedback,"
195,1,y,x^2,y,x*y,"0 is not stable,"
196,1,y,x^2,y,x^2,"0 is not stable,"
197,1,y,x^2,y,y^2,"no feedback,"
198,1,y,y^2,1,1,"zero behaviour of y at origin,no feedback,"
199,1,y,y^2,1,x,"0 is not stable,"
200,1,y,y^2,1,y,"no feedback,"
201,1,y,y^2,1,x*y,"0 is not stable,"
202,1,y,y^2,1,x^2,"0 is not stable,"
203,1,y,y^2,1,y^2,"no feedback,"
204,1,y,y^2,x,1,"0 is not stable,"
205,1,y,y^2,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
206,1,y,y^2,x,y,"0 is not stable,"
207,1,y,y^2,x,x*y,"x=0 is a line of fixed points,"
208,1,y,y^2,x,x^2,"x=0 is a line of fixed points,"
209,1,y,y^2,x,y^2,"0 is not stable,"
210,1,y,y^2,y,1,"no feedback,"
211,1,y,y^2,y,x,"0 is not stable,"
212,1,y,y^2,y,y,"zero behaviour of y at origin,no feedback,"
213,1,y,y^2,y,x*y,"0 is not stable,"
214,1,y,y^2,y,x^2,"0 is not stable,"
215,1,y,y^2,y,y^2,"no feedback,"
216,x,y,1,1,1,"zero behaviour of y at origin,no feedback,"
217,x,y,1,1,x,"0 is not stable,"
218,x,y,1,1,y,"no feedback,"
219,x,y,1,1,x*y,"0 is not stable,"
220,x,y,1,1,x^2,"0 is not stable,"
221,x,y,1,1,y^2,"no feedback,"
222,x,y,1,x,1,another stable fp at all parameter values
223,x,y,1,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
224,x,y,1,x,y,"0 is not stable,"
225,x,y,1,x,x*y,"x=0 is a line of fixed points,"
226,x,y,1,x,x^2,"x=0 is a line of fixed points,"
227,x,y,1,x,y^2,"0 is not stable,"
228,x,y,1,y,1,"no feedback,"
229,x,y,1,y,x,"0 is not stable,"
230,x,y,1,y,y,"zero behaviour of y at origin,no feedback,"
231,x,y,1,y,x*y,"0 is not stable,"
232,x,y,1,y,x^2,"0 is not stable,"
233,x,y,1,y,y^2,"no feedback,"
234,x,y,x,1,1,"zero behaviour of x at origin,zero behaviour of y at origin,no feedback,"
235,x,y,x,1,x,"zero behaviour of x at origin,"
236,x,y,x,1,y,"zero behaviour of x at origin,no feedback,"
237,x,y,x,1,x*y,"zero behaviour of x at origin,"
238,x,y,x,1,x^2,"zero behaviour of x at origin,"
239,x,y,x,1,y^2,"zero behaviour of x at origin,no feedback,"
240,x,y,x,x,1,"zero behaviour of x at origin,"
241,x,y,x,x,x,"zero behaviour of x at origin,zero behaviour of y at origin,x=0 is a line of fixed points,"
242,x,y,x,x,y,"zero behaviour of x at origin,"
243,x,y,x,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
244,x,y,x,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
245,x,y,x,x,y^2,"zero behaviour of x at origin,"
246,x,y,x,y,1,"zero behaviour of x at origin,no feedback,"
247,x,y,x,y,x,"zero behaviour of x at origin,"
248,x,y,x,y,y,"zero behaviour of x at origin,zero behaviour of y at origin,no feedback,"
249,x,y,x,y,x*y,"zero behaviour of x at origin,"
250,x,y,x,y,x^2,"zero behaviour of x at origin,"
251,x,y,x,y,y^2,"zero behaviour of x at origin,no feedback,"
252,x,y,y,1,1,"zero behaviour of x at origin,zero behaviour of y at origin,no feedback,"
253,x,y,y,1,x,"zero behaviour of x at origin,"
254,x,y,y,1,y,"zero behaviour of x at origin,no feedback,"
255,x,y,y,1,x*y,"zero behaviour of x at origin,"
256,x,y,y,1,x^2,"zero behaviour of x at origin,"
257,x,y,y,1,y^2,"zero behaviour of x at origin,no feedback,"
258,x,y,y,x,1,"zero behaviour of x at origin,"
259,x,y,y,x,x,"zero behaviour of x at origin,zero behaviour of y at origin,x=0 is a line of fixed points,"
260,x,y,y,x,y,"zero behaviour of x at origin,"
261,x,y,y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
262,x,y,y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
263,x,y,y,x,y^2,"zero behaviour of x at origin,"
264,x,y,y,y,1,"zero behaviour of x at origin,no feedback,"
265,x,y,y,y,x,"zero behaviour of x at origin,"
266,x,y,y,y,y,"zero behaviour of x at origin,zero behaviour of y at origin,no feedback,"
267,x,y,y,y,x*y,"zero behaviour of x at origin,"
268,x,y,y,y,x^2,"zero behaviour of x at origin,"
269,x,y,y,y,y^2,"zero behaviour of x at origin,no feedback,"
270,x,y,x*y,1,1,"zero behaviour of y at origin,no feedback,"
271,x,y,x*y,1,x,"0 is not stable,"
272,x,y,x*y,1,y,"no feedback,"
273,x,y,x*y,1,x*y,"0 is not stable,"
274,x,y,x*y,1,x^2,"0 is not stable,"
275,x,y,x*y,1,y^2,"no feedback,"
276,x,y,x*y,x,1,"0 is not stable,"
277,x,y,x*y,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
278,x,y,x*y,x,y,"0 is not stable,"
279,x,y,x*y,x,x*y,"x=0 is a line of fixed points,"
280,x,y,x*y,x,x^2,"x=0 is a line of fixed points,"
281,x,y,x*y,x,y^2,"0 is not stable,"
282,x,y,x*y,y,1,"no feedback,"
283,x,y,x*y,y,x,"0 is not stable,"
284,x,y,x*y,y,y,"zero behaviour of y at origin,no feedback,"
285,x,y,x*y,y,x*y,"0 is not stable,"
286,x,y,x*y,y,x^2,"0 is not stable,"
287,x,y,x*y,y,y^2,"no feedback,"
288,x,y,x^2,1,1,"zero behaviour of y at origin,no feedback,"
289,x,y,x^2,1,x,"0 is not stable,"
290,x,y,x^2,1,y,"no feedback,"
291,x,y,x^2,1,x*y,"0 is not stable,"
292,x,y,x^2,1,x^2,"0 is not stable,"
293,x,y,x^2,1,y^2,"no feedback,"
294,x,y,x^2,x,1,"0 is not stable,"
295,x,y,x^2,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
296,x,y,x^2,x,y,"0 is not stable,"
297,x,y,x^2,x,x*y,"x=0 is a line of fixed points,"
298,x,y,x^2,x,x^2,"x=0 is a line of fixed points,"
299,x,y,x^2,x,y^2,"0 is not stable,"
300,x,y,x^2,y,1,"no feedback,"
301,x,y,x^2,y,x,"0 is not stable,"
302,x,y,x^2,y,y,"zero behaviour of y at origin,no feedback,"
303,x,y,x^2,y,x*y,"0 is not stable,"
304,x,y,x^2,y,x^2,"0 is not stable,"
305,x,y,x^2,y,y^2,"no feedback,"
306,x,y,y^2,1,1,"zero behaviour of y at origin,no feedback,"
307,x,y,y^2,1,x,"0 is not stable,"
308,x,y,y^2,1,y,"no feedback,"
309,x,y,y^2,1,x*y,"0 is not stable,"
310,x,y,y^2,1,x^2,"0 is not stable,"
311,x,y,y^2,1,y^2,"no feedback,"
312,x,y,y^2,x,1,"0 is not stable,"
313,x,y,y^2,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
314,x,y,y^2,x,y,"0 is not stable,"
315,x,y,y^2,x,x*y,"x=0 is a line of fixed points,"
316,x,y,y^2,x,x^2,"x=0 is a line of fixed points,"
317,x,y,y^2,x,y^2,"0 is not stable,"
318,x,y,y^2,y,1,"no feedback,"
319,x,y,y^2,y,x,"0 is not stable,"
320,x,y,y^2,y,y,"zero behaviour of y at origin,no feedback,"
321,x,y,y^2,y,x*y,"0 is not stable,"
322,x,y,y^2,y,x^2,"0 is not stable,"
323,x,y,y^2,y,y^2,"no feedback,"
