,prod_x_item_1,prod_x_item_2,rem_x_item_1,rem_y_item_1,rem_y_item_2,remarks
92,1,y,1,1,x*y,"zero behaviour of x at origin,"
93,1,y,1,1,x^2,"zero behaviour of x at origin,"
94,1,y,1,1,y^2,"zero behaviour of x at origin,no feedback,"
95,1,y,1,x,y,"zero behaviour of x at origin,"
96,1,y,1,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
97,1,y,1,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
98,1,y,1,x,y^2,"zero behaviour of x at origin,"
99,1,y,1,y,x*y,"zero behaviour of x at origin,"
100,1,y,1,y,x^2,"zero behaviour of x at origin,"
101,1,y,1,y,y^2,"zero behaviour of x at origin,no feedback,"
102,1,y,1,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
103,1,y,1,x*y,y^2,"zero behaviour of x at origin,"
104,1,y,1,x^2,y^2,"zero behaviour of x at origin,"
105,1,y,x,1,x,"0 is not stable,"
106,1,y,x,1,y,"no feedback,"
107,1,y,x,1,x*y,"0 is not stable,"
108,1,y,x,1,x^2,"0 is not stable,"
109,1,y,x,1,y^2,"no feedback,"
110,1,y,x,x,y,"0 is not stable,"
111,1,y,x,x,x*y,"x=0 is a line of fixed points,"
112,1,y,x,x,x^2,"x=0 is a line of fixed points,"
113,1,y,x,x,y^2,"0 is not stable,"
114,1,y,x,y,x*y,"0 is not stable,"
115,1,y,x,y,x^2,"0 is not stable,"
116,1,y,x,y,y^2,"no feedback,"
117,1,y,x,x*y,x^2,"x=0 is a line of fixed points,"
118,1,y,x,x*y,y^2,"0 is not stable,"
119,1,y,x,x^2,y^2,"0 is not stable,"
120,1,y,y,1,x,"zero behaviour of x at origin,"
121,1,y,y,1,y,"zero behaviour of x at origin,no feedback,"
122,1,y,y,1,x*y,"zero behaviour of x at origin,"
123,1,y,y,1,x^2,"zero behaviour of x at origin,"
124,1,y,y,1,y^2,"zero behaviour of x at origin,no feedback,"
125,1,y,y,x,y,"zero behaviour of x at origin,"
126,1,y,y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
127,1,y,y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
128,1,y,y,x,y^2,"zero behaviour of x at origin,"
129,1,y,y,y,x*y,"zero behaviour of x at origin,"
130,1,y,y,y,x^2,"zero behaviour of x at origin,"
131,1,y,y,y,y^2,"zero behaviour of x at origin,no feedback,"
132,1,y,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
133,1,y,y,x*y,y^2,"zero behaviour of x at origin,"
134,1,y,y,x^2,y^2,"zero behaviour of x at origin,"
135,1,y,x*y,1,x,"0 is not stable,"
136,1,y,x*y,1,y,"no feedback,"
137,1,y,x*y,1,x*y,"0 is not stable,"
138,1,y,x*y,1,x^2,"0 is not stable,"
139,1,y,x*y,1,y^2,"no feedback,"
140,1,y,x*y,x,y,"0 is not stable,"
141,1,y,x*y,x,x*y,"x=0 is a line of fixed points,"
142,1,y,x*y,x,x^2,"x=0 is a line of fixed points,"
143,1,y,x*y,x,y^2,"0 is not stable,"
144,1,y,x*y,y,x*y,"0 is not stable,"
145,1,y,x*y,y,x^2,"0 is not stable,"
146,1,y,x*y,y,y^2,"no feedback,"
147,1,y,x*y,x*y,x^2,"x=0 is a line of fixed points,"
148,1,y,x*y,x*y,y^2,"0 is not stable,"
149,1,y,x*y,x^2,y^2,"0 is not stable,"
150,1,y,x^2,1,x,"0 is not stable,"
151,1,y,x^2,1,y,"no feedback,"
152,1,y,x^2,1,x*y,"0 is not stable,"
153,1,y,x^2,1,x^2,"0 is not stable,"
154,1,y,x^2,1,y^2,"no feedback,"
155,1,y,x^2,x,y,"0 is not stable,"
156,1,y,x^2,x,x*y,"x=0 is a line of fixed points,"
157,1,y,x^2,x,x^2,"x=0 is a line of fixed points,"
158,1,y,x^2,x,y^2,"0 is not stable,"
159,1,y,x^2,y,x*y,"0 is not stable,"
160,1,y,x^2,y,x^2,"0 is not stable,"
161,1,y,x^2,y,y^2,"no feedback,"
162,1,y,x^2,x*y,x^2,"x=0 is a line of fixed points,"
163,1,y,x^2,x*y,y^2,"0 is not stable,"
164,1,y,x^2,x^2,y^2,"0 is not stable,"
165,1,y,y^2,1,x,"0 is not stable,"
166,1,y,y^2,1,y,"no feedback,"
167,1,y,y^2,1,x*y,"0 is not stable,"
168,1,y,y^2,1,x^2,"0 is not stable,"
169,1,y,y^2,1,y^2,"no feedback,"
170,1,y,y^2,x,y,"0 is not stable,"
171,1,y,y^2,x,x*y,"x=0 is a line of fixed points,"
172,1,y,y^2,x,x^2,"x=0 is a line of fixed points,"
173,1,y,y^2,x,y^2,"0 is not stable,"
174,1,y,y^2,y,x*y,"0 is not stable,"
175,1,y,y^2,y,x^2,"0 is not stable,"
176,1,y,y^2,y,y^2,"no feedback,"
177,1,y,y^2,x*y,x^2,"x=0 is a line of fixed points,"
178,1,y,y^2,x*y,y^2,"0 is not stable,"
179,1,y,y^2,x^2,y^2,"0 is not stable,"
180,x,y,1,1,x,
181,x,y,1,1,y,"no feedback,"
182,x,y,1,1,x*y,
183,x,y,1,1,x^2,
184,x,y,1,1,y^2,"no feedback,"
185,x,y,1,x,y,
186,x,y,1,x,x*y,"x=0 is a line of fixed points,"
187,x,y,1,x,x^2,"x=0 is a line of fixed points,"
188,x,y,1,x,y^2,
189,x,y,1,y,x*y,
190,x,y,1,y,x^2,
191,x,y,1,y,y^2,"no feedback,"
192,x,y,1,x*y,x^2,"x=0 is a line of fixed points,"
193,x,y,1,x*y,y^2,
194,x,y,1,x^2,y^2,
195,x,y,x,1,x,"zero behaviour of x at origin,"
196,x,y,x,1,y,"zero behaviour of x at origin,no feedback,"
197,x,y,x,1,x*y,"zero behaviour of x at origin,"
198,x,y,x,1,x^2,"zero behaviour of x at origin,"
199,x,y,x,1,y^2,"zero behaviour of x at origin,no feedback,"
200,x,y,x,x,y,"zero behaviour of x at origin,"
201,x,y,x,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
202,x,y,x,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
203,x,y,x,x,y^2,"zero behaviour of x at origin,"
204,x,y,x,y,x*y,"zero behaviour of x at origin,"
205,x,y,x,y,x^2,"zero behaviour of x at origin,"
206,x,y,x,y,y^2,"zero behaviour of x at origin,no feedback,"
207,x,y,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
208,x,y,x,x*y,y^2,"zero behaviour of x at origin,"
209,x,y,x,x^2,y^2,"zero behaviour of x at origin,"
210,x,y,y,1,x,"zero behaviour of x at origin,"
211,x,y,y,1,y,"zero behaviour of x at origin,no feedback,"
212,x,y,y,1,x*y,"zero behaviour of x at origin,"
213,x,y,y,1,x^2,"zero behaviour of x at origin,"
214,x,y,y,1,y^2,"zero behaviour of x at origin,no feedback,"
215,x,y,y,x,y,"zero behaviour of x at origin,"
216,x,y,y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
217,x,y,y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
218,x,y,y,x,y^2,"zero behaviour of x at origin,"
219,x,y,y,y,x*y,"zero behaviour of x at origin,"
220,x,y,y,y,x^2,"zero behaviour of x at origin,"
221,x,y,y,y,y^2,"zero behaviour of x at origin,no feedback,"
222,x,y,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
223,x,y,y,x*y,y^2,"zero behaviour of x at origin,"
224,x,y,y,x^2,y^2,"zero behaviour of x at origin,"
225,x,y,x*y,1,x,
226,x,y,x*y,1,y,"no feedback,"
227,x,y,x*y,1,x*y,
228,x,y,x*y,1,x^2,
229,x,y,x*y,1,y^2,"no feedback,"
230,x,y,x*y,x,y,
231,x,y,x*y,x,x*y,"x=0 is a line of fixed points,"
232,x,y,x*y,x,x^2,"x=0 is a line of fixed points,"
233,x,y,x*y,x,y^2,
234,x,y,x*y,y,x*y,
235,x,y,x*y,y,x^2,
236,x,y,x*y,y,y^2,"no feedback,"
237,x,y,x*y,x*y,x^2,"x=0 is a line of fixed points,"
238,x,y,x*y,x*y,y^2,
239,x,y,x*y,x^2,y^2,
240,x,y,x^2,1,x,
241,x,y,x^2,1,y,"no feedback,"
242,x,y,x^2,1,x*y,
243,x,y,x^2,1,x^2,
244,x,y,x^2,1,y^2,"no feedback,"
245,x,y,x^2,x,y,
246,x,y,x^2,x,x*y,"x=0 is a line of fixed points,"
247,x,y,x^2,x,x^2,"x=0 is a line of fixed points,"
248,x,y,x^2,x,y^2,
249,x,y,x^2,y,x*y,
250,x,y,x^2,y,x^2,
251,x,y,x^2,y,y^2,"no feedback,"
252,x,y,x^2,x*y,x^2,"x=0 is a line of fixed points,"
253,x,y,x^2,x*y,y^2,
254,x,y,x^2,x^2,y^2,
255,x,y,y^2,1,x,
256,x,y,y^2,1,y,"no feedback,"
257,x,y,y^2,1,x*y,
258,x,y,y^2,1,x^2,
259,x,y,y^2,1,y^2,"no feedback,"
260,x,y,y^2,x,y,
261,x,y,y^2,x,x*y,"x=0 is a line of fixed points,"
262,x,y,y^2,x,x^2,"x=0 is a line of fixed points,"
263,x,y,y^2,x,y^2,
264,x,y,y^2,y,x*y,
265,x,y,y^2,y,x^2,
266,x,y,y^2,y,y^2,"no feedback,"
267,x,y,y^2,x*y,x^2,"x=0 is a line of fixed points,"
268,x,y,y^2,x*y,y^2,
269,x,y,y^2,x^2,y^2,
