,prod_x_item_1,rem_x_item_1,rem_x_item_2,rem_x_item_3,rem_y_item_1,remarks
31,1,1,y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
32,1,1,y,x^2,y,"zero behaviour of x at origin,no feedback,"
33,1,1,y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
34,1,1,y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
35,1,1,y,x^2,y^2,"zero behaviour of x at origin,no feedback,"
36,1,1,y,y^2,1,"zero behaviour of x at origin,no feedback,"
37,1,1,y,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
38,1,1,y,y^2,y,"zero behaviour of x at origin,no feedback,"
39,1,1,y,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
40,1,1,y,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
41,1,1,y,y^2,y^2,"zero behaviour of x at origin,no feedback,"
42,1,1,x*y,x^2,1,"zero behaviour of x at origin,no feedback,"
43,1,1,x*y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
44,1,1,x*y,x^2,y,"zero behaviour of x at origin,no feedback,"
45,1,1,x*y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
46,1,1,x*y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
47,1,1,x*y,x^2,y^2,"zero behaviour of x at origin,no feedback,"
48,1,1,x*y,y^2,1,"zero behaviour of x at origin,no feedback,"
49,1,1,x*y,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
50,1,1,x*y,y^2,y,"zero behaviour of x at origin,no feedback,"
51,1,1,x*y,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
52,1,1,x*y,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
53,1,1,x*y,y^2,y^2,"zero behaviour of x at origin,no feedback,"
54,1,1,x^2,y^2,1,"zero behaviour of x at origin,no feedback,"
55,1,1,x^2,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
56,1,1,x^2,y^2,y,"zero behaviour of x at origin,no feedback,"
57,1,1,x^2,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
58,1,1,x^2,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
59,1,1,x^2,y^2,y^2,"zero behaviour of x at origin,no feedback,"
60,1,x,y,x*y,1,"no feedback,"
61,1,x,y,x*y,x,"x=0 is a line of fixed points,"
62,1,x,y,x*y,y,"no feedback,"
63,1,x,y,x*y,x*y,"x=0 is a line of fixed points,"
64,1,x,y,x*y,x^2,"x=0 is a line of fixed points,"
65,1,x,y,x*y,y^2,"no feedback,"
66,1,x,y,x^2,1,"no feedback,"
67,1,x,y,x^2,x,"x=0 is a line of fixed points,"
68,1,x,y,x^2,y,"no feedback,"
69,1,x,y,x^2,x*y,"x=0 is a line of fixed points,"
70,1,x,y,x^2,x^2,"x=0 is a line of fixed points,"
71,1,x,y,x^2,y^2,"no feedback,"
72,1,x,y,y^2,1,"no feedback,"
73,1,x,y,y^2,x,"x=0 is a line of fixed points,"
74,1,x,y,y^2,y,"no feedback,"
75,1,x,y,y^2,x*y,"x=0 is a line of fixed points,"
76,1,x,y,y^2,x^2,"x=0 is a line of fixed points,"
77,1,x,y,y^2,y^2,"no feedback,"
78,1,x,x*y,x^2,1,"no feedback,"
79,1,x,x*y,x^2,x,"x=0 is a line of fixed points,"
80,1,x,x*y,x^2,y,"no feedback,"
81,1,x,x*y,x^2,x*y,"x=0 is a line of fixed points,"
82,1,x,x*y,x^2,x^2,"x=0 is a line of fixed points,"
83,1,x,x*y,x^2,y^2,"no feedback,"
84,1,x,x*y,y^2,1,"no feedback,"
85,1,x,x*y,y^2,x,"x=0 is a line of fixed points,"
86,1,x,x*y,y^2,y,"no feedback,"
87,1,x,x*y,y^2,x*y,"x=0 is a line of fixed points,"
88,1,x,x*y,y^2,x^2,"x=0 is a line of fixed points,"
89,1,x,x*y,y^2,y^2,"no feedback,"
90,1,x,x^2,y^2,1,"no feedback,"
91,1,x,x^2,y^2,x,"x=0 is a line of fixed points,"
92,1,x,x^2,y^2,y,"no feedback,"
93,1,x,x^2,y^2,x*y,"x=0 is a line of fixed points,"
94,1,x,x^2,y^2,x^2,"x=0 is a line of fixed points,"
95,1,x,x^2,y^2,y^2,"no feedback,"
96,1,y,x*y,x^2,1,"no feedback,"
97,1,y,x*y,x^2,x,"x=0 is a line of fixed points,"
98,1,y,x*y,x^2,y,"no feedback,"
99,1,y,x*y,x^2,x*y,"x=0 is a line of fixed points,"
100,1,y,x*y,x^2,x^2,"x=0 is a line of fixed points,"
101,1,y,x*y,x^2,y^2,"no feedback,"
102,1,y,x*y,y^2,1,"no feedback,"
103,1,y,x*y,y^2,x,"x=0 is a line of fixed points,"
104,1,y,x*y,y^2,y,"no feedback,"
105,1,y,x*y,y^2,x*y,"x=0 is a line of fixed points,"
106,1,y,x*y,y^2,x^2,"x=0 is a line of fixed points,"
107,1,y,x*y,y^2,y^2,"no feedback,"
108,1,y,x^2,y^2,1,"no feedback,"
109,1,y,x^2,y^2,x,"x=0 is a line of fixed points,"
110,1,y,x^2,y^2,y,"no feedback,"
111,1,y,x^2,y^2,x*y,"x=0 is a line of fixed points,"
112,1,y,x^2,y^2,x^2,"x=0 is a line of fixed points,"
113,1,y,x^2,y^2,y^2,"no feedback,"
114,1,x*y,x^2,y^2,1,"no feedback,"
115,1,x*y,x^2,y^2,x,"x=0 is a line of fixed points,"
116,1,x*y,x^2,y^2,y,"no feedback,"
117,1,x*y,x^2,y^2,x*y,"x=0 is a line of fixed points,"
118,1,x*y,x^2,y^2,x^2,"x=0 is a line of fixed points,"
119,1,x*y,x^2,y^2,y^2,"no feedback,"
120,x,1,x,y,1,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
121,x,1,x,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
122,x,1,x,y,y,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
123,x,1,x,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
124,x,1,x,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
125,x,1,x,y,y^2,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
126,x,1,x,x*y,1,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
127,x,1,x,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
128,x,1,x,x*y,y,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
129,x,1,x,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
130,x,1,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
131,x,1,x,x*y,y^2,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
132,x,1,x,x^2,1,"zero behaviour of x at origin,not connected,another stable fp at all parameter values,"
133,x,1,x,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,another stable fp at all parameter values,"
134,x,1,x,x^2,y,"zero behaviour of x at origin,not connected,another stable fp at all parameter values,"
135,x,1,x,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,another stable fp at all parameter values,"
136,x,1,x,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,another stable fp at all parameter values,"
137,x,1,x,x^2,y^2,"zero behaviour of x at origin,not connected,another stable fp at all parameter values,"
138,x,1,x,y^2,1,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
139,x,1,x,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
140,x,1,x,y^2,y,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
141,x,1,x,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
142,x,1,x,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,another stable fp at all parameter values,"
143,x,1,x,y^2,y^2,"zero behaviour of x at origin,no feedback,another stable fp at all parameter values,"
144,x,1,y,x*y,1,"no feedback,another stable fp at all parameter values,"
145,x,1,y,x*y,x,"x=0 is a line of fixed points,another stable fp at all parameter values,"
146,x,1,y,x*y,y,"no feedback,another stable fp at all parameter values,"
147,x,1,y,x*y,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,"
148,x,1,y,x*y,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,"
149,x,1,y,x*y,y^2,"no feedback,another stable fp at all parameter values,"
150,x,1,y,x^2,1,"no feedback,another stable fp at all parameter values,"
151,x,1,y,x^2,x,"x=0 is a line of fixed points,another stable fp at all parameter values,"
152,x,1,y,x^2,y,"no feedback,another stable fp at all parameter values,"
153,x,1,y,x^2,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,"
154,x,1,y,x^2,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,"
155,x,1,y,x^2,y^2,"no feedback,another stable fp at all parameter values,"
156,x,1,y,y^2,1,"no feedback,another stable fp at all parameter values,"
157,x,1,y,y^2,x,"x=0 is a line of fixed points,another stable fp at all parameter values,"
158,x,1,y,y^2,y,"no feedback,another stable fp at all parameter values,"
159,x,1,y,y^2,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,"
160,x,1,y,y^2,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,"
161,x,1,y,y^2,y^2,"no feedback,another stable fp at all parameter values,"
162,x,1,x*y,x^2,1,"no feedback,another stable fp at all parameter values,"
163,x,1,x*y,x^2,x,"x=0 is a line of fixed points,another stable fp at all parameter values,"
164,x,1,x*y,x^2,y,"no feedback,another stable fp at all parameter values,"
165,x,1,x*y,x^2,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,"
166,x,1,x*y,x^2,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,"
167,x,1,x*y,x^2,y^2,"no feedback,another stable fp at all parameter values,"
168,x,1,x*y,y^2,1,"no feedback,another stable fp at all parameter values,"
169,x,1,x*y,y^2,x,"x=0 is a line of fixed points,another stable fp at all parameter values,"
170,x,1,x*y,y^2,y,"no feedback,another stable fp at all parameter values,"
171,x,1,x*y,y^2,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,"
172,x,1,x*y,y^2,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,"
173,x,1,x*y,y^2,y^2,"no feedback,another stable fp at all parameter values,"
174,x,1,x^2,y^2,1,"no feedback,another stable fp at all parameter values,"
175,x,1,x^2,y^2,x,"x=0 is a line of fixed points,another stable fp at all parameter values,"
176,x,1,x^2,y^2,y,"no feedback,another stable fp at all parameter values,"
177,x,1,x^2,y^2,x*y,"x=0 is a line of fixed points,another stable fp at all parameter values,"
178,x,1,x^2,y^2,x^2,"x=0 is a line of fixed points,another stable fp at all parameter values,"
179,x,1,x^2,y^2,y^2,"no feedback,another stable fp at all parameter values,"
180,x,x,y,x*y,1,"zero behaviour of x at origin,no feedback,0 is not stable,"
181,x,x,y,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
182,x,x,y,x*y,y,"zero behaviour of x at origin,no feedback,0 is not stable,"
183,x,x,y,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
184,x,x,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
185,x,x,y,x*y,y^2,"zero behaviour of x at origin,no feedback,0 is not stable,"
186,x,x,y,x^2,1,"zero behaviour of x at origin,no feedback,0 is not stable,"
187,x,x,y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
188,x,x,y,x^2,y,"zero behaviour of x at origin,no feedback,0 is not stable,"
189,x,x,y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
190,x,x,y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
191,x,x,y,x^2,y^2,"zero behaviour of x at origin,no feedback,0 is not stable,"
192,x,x,y,y^2,1,"zero behaviour of x at origin,no feedback,0 is not stable,"
193,x,x,y,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
194,x,x,y,y^2,y,"zero behaviour of x at origin,no feedback,0 is not stable,"
195,x,x,y,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
196,x,x,y,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
197,x,x,y,y^2,y^2,"zero behaviour of x at origin,no feedback,0 is not stable,"
198,x,x,x*y,x^2,1,"zero behaviour of x at origin,no feedback,0 is not stable,"
199,x,x,x*y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
200,x,x,x*y,x^2,y,"zero behaviour of x at origin,no feedback,0 is not stable,"
201,x,x,x*y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
202,x,x,x*y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
203,x,x,x*y,x^2,y^2,"zero behaviour of x at origin,no feedback,0 is not stable,"
204,x,x,x*y,y^2,1,"zero behaviour of x at origin,no feedback,0 is not stable,"
205,x,x,x*y,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
206,x,x,x*y,y^2,y,"zero behaviour of x at origin,no feedback,0 is not stable,"
207,x,x,x*y,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
208,x,x,x*y,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,0 is not stable,"
209,x,x,x*y,y^2,y^2,"zero behaviour of x at origin,no feedback,0 is not stable,"
210,x,x,x^2,y^2,1,"zero behaviour of x at origin,no feedback,"
211,x,x,x^2,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
212,x,x,x^2,y^2,y,"zero behaviour of x at origin,no feedback,"
213,x,x,x^2,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
214,x,x,x^2,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
215,x,x,x^2,y^2,y^2,"zero behaviour of x at origin,no feedback,"
216,x,y,x*y,x^2,1,"no feedback,0 is not stable,"
217,x,y,x*y,x^2,x,"x=0 is a line of fixed points,0 is not stable,"
218,x,y,x*y,x^2,y,"no feedback,0 is not stable,"
219,x,y,x*y,x^2,x*y,"x=0 is a line of fixed points,0 is not stable,"
220,x,y,x*y,x^2,x^2,"x=0 is a line of fixed points,0 is not stable,"
221,x,y,x*y,x^2,y^2,"no feedback,0 is not stable,"
222,x,y,x*y,y^2,1,"no feedback,0 is not stable,"
223,x,y,x*y,y^2,x,"x=0 is a line of fixed points,0 is not stable,"
224,x,y,x*y,y^2,y,"no feedback,0 is not stable,"
225,x,y,x*y,y^2,x*y,"x=0 is a line of fixed points,0 is not stable,"
226,x,y,x*y,y^2,x^2,"x=0 is a line of fixed points,0 is not stable,"
227,x,y,x*y,y^2,y^2,"no feedback,0 is not stable,"
228,x,y,x^2,y^2,1,"no feedback,0 is not stable,"
229,x,y,x^2,y^2,x,"x=0 is a line of fixed points,0 is not stable,"
230,x,y,x^2,y^2,y,"no feedback,0 is not stable,"
231,x,y,x^2,y^2,x*y,"x=0 is a line of fixed points,0 is not stable,"
232,x,y,x^2,y^2,x^2,"x=0 is a line of fixed points,0 is not stable,"
233,x,y,x^2,y^2,y^2,"no feedback,0 is not stable,"
234,x,x*y,x^2,y^2,1,"no feedback,0 is not stable,"
235,x,x*y,x^2,y^2,x,"x=0 is a line of fixed points,0 is not stable,"
236,x,x*y,x^2,y^2,y,"no feedback,0 is not stable,"
237,x,x*y,x^2,y^2,x*y,"x=0 is a line of fixed points,0 is not stable,"
238,x,x*y,x^2,y^2,x^2,"x=0 is a line of fixed points,0 is not stable,"
239,x,x*y,x^2,y^2,y^2,"no feedback,0 is not stable,"
240,y,1,x,y,1,"zero behaviour of x at origin,no feedback,"
241,y,1,x,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
242,y,1,x,y,y,"zero behaviour of x at origin,no feedback,"
243,y,1,x,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
244,y,1,x,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
245,y,1,x,y,y^2,"zero behaviour of x at origin,no feedback,"
246,y,1,x,x*y,1,"no feedback,"
247,y,1,x,x*y,x,"x=0 is a line of fixed points,"
248,y,1,x,x*y,y,"no feedback,"
249,y,1,x,x*y,x*y,"x=0 is a line of fixed points,"
250,y,1,x,x*y,x^2,"x=0 is a line of fixed points,"
251,y,1,x,x*y,y^2,"no feedback,"
252,y,1,x,x^2,1,"no feedback,"
253,y,1,x,x^2,x,"x=0 is a line of fixed points,"
254,y,1,x,x^2,y,"no feedback,"
255,y,1,x,x^2,x*y,"x=0 is a line of fixed points,"
256,y,1,x,x^2,x^2,"x=0 is a line of fixed points,"
257,y,1,x,x^2,y^2,"no feedback,"
258,y,1,x,y^2,1,"no feedback,"
259,y,1,x,y^2,x,"x=0 is a line of fixed points,"
260,y,1,x,y^2,y,"no feedback,"
261,y,1,x,y^2,x*y,"x=0 is a line of fixed points,"
262,y,1,x,y^2,x^2,"x=0 is a line of fixed points,"
263,y,1,x,y^2,y^2,"no feedback,"
264,y,1,y,x*y,1,"zero behaviour of x at origin,no feedback,"
265,y,1,y,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
266,y,1,y,x*y,y,"zero behaviour of x at origin,no feedback,"
267,y,1,y,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
268,y,1,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
269,y,1,y,x*y,y^2,"zero behaviour of x at origin,no feedback,"
270,y,1,y,x^2,1,"zero behaviour of x at origin,no feedback,"
271,y,1,y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
272,y,1,y,x^2,y,"zero behaviour of x at origin,no feedback,"
273,y,1,y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
274,y,1,y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
275,y,1,y,x^2,y^2,"zero behaviour of x at origin,no feedback,"
276,y,1,y,y^2,1,"zero behaviour of x at origin,no feedback,"
277,y,1,y,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
278,y,1,y,y^2,y,"zero behaviour of x at origin,no feedback,"
279,y,1,y,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
280,y,1,y,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
281,y,1,y,y^2,y^2,"zero behaviour of x at origin,no feedback,"
282,y,1,x*y,x^2,1,"no feedback,"
283,y,1,x*y,x^2,x,"x=0 is a line of fixed points,"
284,y,1,x*y,x^2,y,"no feedback,"
285,y,1,x*y,x^2,x*y,"x=0 is a line of fixed points,"
286,y,1,x*y,x^2,x^2,"x=0 is a line of fixed points,"
287,y,1,x*y,x^2,y^2,"no feedback,"
288,y,1,x*y,y^2,1,"no feedback,"
289,y,1,x*y,y^2,x,"x=0 is a line of fixed points,"
290,y,1,x*y,y^2,y,"no feedback,"
291,y,1,x*y,y^2,x*y,"x=0 is a line of fixed points,"
292,y,1,x*y,y^2,x^2,"x=0 is a line of fixed points,"
293,y,1,x*y,y^2,y^2,"no feedback,"
294,y,1,x^2,y^2,1,"no feedback,"
295,y,1,x^2,y^2,x,"x=0 is a line of fixed points,"
296,y,1,x^2,y^2,y,"no feedback,"
297,y,1,x^2,y^2,x*y,"x=0 is a line of fixed points,"
298,y,1,x^2,y^2,x^2,"x=0 is a line of fixed points,"
299,y,1,x^2,y^2,y^2,"no feedback,"
300,y,x,y,x*y,1,"zero behaviour of x at origin,no feedback,"
301,y,x,y,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
302,y,x,y,x*y,y,"zero behaviour of x at origin,no feedback,"
303,y,x,y,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
304,y,x,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
305,y,x,y,x*y,y^2,"zero behaviour of x at origin,no feedback,"
306,y,x,y,x^2,1,"zero behaviour of x at origin,no feedback,"
307,y,x,y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
308,y,x,y,x^2,y,"zero behaviour of x at origin,no feedback,"
309,y,x,y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
310,y,x,y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
311,y,x,y,x^2,y^2,"zero behaviour of x at origin,no feedback,"
312,y,x,y,y^2,1,"zero behaviour of x at origin,no feedback,"
313,y,x,y,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
314,y,x,y,y^2,y,"zero behaviour of x at origin,no feedback,"
315,y,x,y,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
316,y,x,y,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
317,y,x,y,y^2,y^2,"zero behaviour of x at origin,no feedback,"
318,y,x,x*y,x^2,1,"no feedback,"
319,y,x,x*y,x^2,x,"x=0 is a line of fixed points,"
320,y,x,x*y,x^2,y,"no feedback,"
321,y,x,x*y,x^2,x*y,"x=0 is a line of fixed points,"
322,y,x,x*y,x^2,x^2,"x=0 is a line of fixed points,"
323,y,x,x*y,x^2,y^2,"no feedback,"
324,y,x,x*y,y^2,1,"no feedback,"
325,y,x,x*y,y^2,x,"x=0 is a line of fixed points,"
326,y,x,x*y,y^2,y,"no feedback,"
327,y,x,x*y,y^2,x*y,"x=0 is a line of fixed points,"
328,y,x,x*y,y^2,x^2,"x=0 is a line of fixed points,"
329,y,x,x*y,y^2,y^2,"no feedback,"
330,y,x,x^2,y^2,1,"no feedback,"
331,y,x,x^2,y^2,x,"x=0 is a line of fixed points,"
332,y,x,x^2,y^2,y,"no feedback,"
333,y,x,x^2,y^2,x*y,"x=0 is a line of fixed points,"
334,y,x,x^2,y^2,x^2,"x=0 is a line of fixed points,"
335,y,x,x^2,y^2,y^2,"no feedback,"
336,y,y,x*y,x^2,1,"zero behaviour of x at origin,no feedback,"
337,y,y,x*y,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
338,y,y,x*y,x^2,y,"zero behaviour of x at origin,no feedback,"
339,y,y,x*y,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
340,y,y,x*y,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
341,y,y,x*y,x^2,y^2,"zero behaviour of x at origin,no feedback,"
342,y,y,x*y,y^2,1,"zero behaviour of x at origin,y=0 is a line of fixed points,no feedback,"
343,y,y,x*y,y^2,x,"zero behaviour of x at origin,y=0 is a line of fixed points,x=0 is a line of fixed points,"
344,y,y,x*y,y^2,y,"zero behaviour of x at origin,y=0 is a line of fixed points,no feedback,"
345,y,y,x*y,y^2,x*y,"zero behaviour of x at origin,y=0 is a line of fixed points,x=0 is a line of fixed points,"
346,y,y,x*y,y^2,x^2,"zero behaviour of x at origin,y=0 is a line of fixed points,x=0 is a line of fixed points,"
347,y,y,x*y,y^2,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,no feedback,"
348,y,y,x^2,y^2,1,"zero behaviour of x at origin,no feedback,"
349,y,y,x^2,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
350,y,y,x^2,y^2,y,"zero behaviour of x at origin,no feedback,"
351,y,y,x^2,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
352,y,y,x^2,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
353,y,y,x^2,y^2,y^2,"zero behaviour of x at origin,no feedback,"
354,y,x*y,x^2,y^2,1,"no feedback,0 is not stable,"
355,y,x*y,x^2,y^2,x,"x=0 is a line of fixed points,0 is not stable,"
356,y,x*y,x^2,y^2,y,"no feedback,0 is not stable,"
357,y,x*y,x^2,y^2,x*y,"x=0 is a line of fixed points,0 is not stable,"
358,y,x*y,x^2,y^2,x^2,"x=0 is a line of fixed points,0 is not stable,"
359,y,x*y,x^2,y^2,y^2,"no feedback,0 is not stable,"
