Source,Target,Action,Mediator,Immune_Process
B,Neutrophil,Positive,IgA,"[' Anti-EC bacteria', ' Antibacterial', ' Antibody production', ' Antifungal', ' Barrier integrity', ' Microbiome tuning of immune response', ' Phagocytosis', ' Tolerance', 'Anti-EC bacteria', 'T independent B activation/IgA production']"
B,Neutrophil,Positive,IgE,"[' Allergic Inflammation', ' Antibody production', ' Inflammation', ' Type 2', 'Antiparasitic', 'nan']"
B,Neutrophil,Positive,IgG,"[' Anti-EC bacteria', ' Antibacterial', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'Phagocytosis']"
B,Neutrophil,Positive,LTa,"[' LN development', 'Cytotoxicity', 'nan']"
B,Platelet,Positive,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'nan']"
B,T_CD4,Negative,IL10,['Immunosuppression']
B,T_CD4,Negative,IL35,['Immunosuppression']
B,T_reg,Negative,IL6,"[' Fever', 'Acute phase response', 'nan']"
B,T_reg,Positive,IL10,"['Immunosuppression', 'Tolerance']"
B,Th17,Positive,IL6,"[' Fever', 'Acute phase response', 'nan']"
B,pDC,Positive,IL6,"[' Antigen presentation', ' Antiviral', ' Fever', 'Acute phase response', 'Antibacterial']"
BM Stromal,B,Positive,CXCL12,"['Hematopoiesis', 'nan']"
BM Stromal,BM Stromal,Positive,OPGL,['nan']
BM Stromal,Common Lymphoid Progenitor,Positive,CXCL12,['Hematopoiesis']
BM Stromal,DC,Positive,CXCL12,"['Hematopoiesis', 'nan']"
BM Stromal,Hematopoietic,Positive,CXCL12,"['Hematopoiesis', 'nan']"
BM Stromal,Macrophage,Positive,CXCL12,"['Hematopoiesis', 'nan']"
BM Stromal,Monocyte,Positive,CXCL12,"['Hematopoiesis', 'nan']"
BM Stromal,Neutrophil,Positive,CXCL12,"['Hematopoiesis', 'nan']"
BM Stromal,T_CD4,Positive,IL7,"['Hematopoiesis', 'nan']"
BM Stromal,T_CD4_memory,Positive,IL7,"['Hematopoiesis', 'nan']"
BM Stromal,T_CD8,Positive,IL7,"['Hematopoiesis', 'nan']"
BM Stromal,T_CD8_memory,Positive,IL7,"['Hematopoiesis', 'nan']"
BM Stromal,pDC,Positive,CXCL12,"['Hematopoiesis', 'nan']"
Basophil,B,Positive,IL4,"[' Allergic Inflammation', ' Inflammation', ' Type 2', 'Antiparasitic', 'nan']"
Basophil,Basophil,Positive,IL13,"[' Antiparasitic', 'Inflammation', 'Type 2']"
Basophil,Basophil,Positive,IL4,"[' Allergic Inflammation', ' Inflammation', ' Type 2', 'Antiparasitic']"
Basophil,Basophil,Positive,Leukotrienes,"['Vascular permeability increase', 'nan']"
Basophil,DC,Positive,Histamine,"[' Vascular permeability increase', 'Inflammation', 'nan']"
Basophil,DC,Positive,IL13,"[' Type 2', 'Antiparasitic', 'Inflammation']"
Basophil,Endothelial,Positive,Histamine,"[' Barrier immunity', ' Vascular permeability increase', 'Inflammation']"
Basophil,Endothelial,Positive,Leukotrienes,"[' Vascular permeability increase', 'Inflammation', 'Vascular permeability increase']"
Basophil,Eosinophil,Positive,IL13,"[' Antiparasitic', 'Inflammation', 'Type 2']"
Basophil,Eosinophil,Positive,Leukotrienes,"['Vascular permeability increase', 'nan']"
Basophil,Epithelial,Positive,IL13,"[' Antiparasitic', ' Barrier integrity', ' Type 2', 'Barrier immunity', 'Inflammation']"
Basophil,Macrophage,Negative,IL13,['Inflammation']
Basophil,Macrophage,Positive,IL13,"[' Antiparasitic', ' Tissue remodeling', 'Inflammation', 'Type 2']"
Basophil,Macrophage,Positive,IL4,"[' Allergic Inflammation', ' Antiparasitic', ' Inflammation', ' Tissue remodeling', ' Type 2', 'Antiparasitic', 'Type 2']"
Basophil,Mast,Positive,IL4,"[' Allergic Inflammation', ' Inflammation', ' Type 2', 'Antiparasitic']"
Basophil,Smooth muscle,Positive,IL13,"[' Antiparasitic', 'Inflammation', 'Type 2']"
Basophil,Smooth muscle,Positive,Leukotrienes,"['Inflammation', 'Vascular permeability increase']"
Basophil,Somatic,Positive,Histamine,"[' Vascular permeability increase', 'Inflammation', 'Vascular permeability increase']"
Basophil,Th1,Positive,Histamine,"[' Vascular permeability increase', 'Inflammation', 'nan']"
Basophil,Th2,Positive,IL13,"['Inflammation', 'nan']"
Basophil,Th2,Positive,IL4,"[' Allergic Inflammation', ' Inflammation', ' Type 2', 'Antiparasitic', 'nan']"
Basophil,Th2,Positive,Leukotrienes,"['Vascular permeability increase', 'nan']"
DC,B,Positive,APRIL,"[' Class switching', 'Class switching', 'T independent B activation/IgA production']"
DC,B,Positive,BAFF,"[' Class switching', 'Class switching', 'T independent B activation/IgA production']"
DC,B,Positive,CCL18,['nan']
DC,B,Positive,CCL19,['LN development']
DC,B,Positive,CCL21,"['LN development', 'nan']"
DC,B,Positive,CXCL13,"[' LN development', 'Antibody production', 'Microbiome tuning of immune response']"
DC,B,Positive,IL10,"[' Immunosuppression', ' Tolerance', 'Anti-inflammatory', 'Class switching']"
DC,B,Positive,IL4,['nan']
DC,B,Positive,IL6,"[' Antibody production', ' Fever', ' Microbiome tuning of immune response', ' Type 3', 'Acute phase response', 'Antibody production', 'Class switching']"
DC,Basophil,Positive,CXCL8,"['Inflammation', 'nan']"
DC,Basophil,Positive,IL4,"['Antiparasitic', 'nan']"
DC,DC,Negative,IL10,"[' Immunosuppression', ' Tolerance', 'Anti-inflammatory', 'Chronic antigen stimulation']"
DC,DC,Negative,IL37,['nan']
DC,DC,Positive,CCL18,['nan']
DC,DC,Positive,CCL19,"['Antigen presentation', 'LN development', 'nan']"
DC,DC,Positive,CCL21,"['Antigen presentation', 'LN development', 'nan']"
DC,DC,Positive,CXCL13,"['Microbiome tuning of immune response', 'nan']"
DC,DC,Positive,IFNa,"[' Antigen presentation', 'Antiviral', 'nan']"
DC,DC,Positive,TNFa,"[' Fever', ' Inflammation', 'Acute phase response', 'Antigen presentation']"
DC,Endothelial,Positive,CXCL8,"['Inflammation', 'nan']"
DC,Endothelial,Positive,IL1b,"[' Fever', ' Inflammation', 'Acute phase response', 'Inflammation']"
DC,Endothelial,Positive,TNFa,"[' Anti-IC bacteria', ' Chemotaxis', ' Fever', ' Inflammation', ' Inflammation;Vascular permeability increase', ' Type 1', 'Acute phase response', 'Inflammation']"
DC,Eosinophil,Positive,TGFb,"['Tolerance', 'nan']"
DC,Fibroblast,Positive,IL6,"[' Antibody production', ' Fever', ' Microbiome tuning of immune response', ' Type 3', 'Acute phase response', 'nan']"
DC,Fibroblast,Positive,TNFa,"[' Fever', ' Inflammation', 'Acute phase response', 'nan']"
DC,Hepatocyte,Positive,IL1b,"[' Fever', ' Inflammation', 'Acute phase response', 'Fever']"
DC,Hepatocyte,Positive,IL6,"[' Antibody production', ' Fever', ' Microbiome tuning of immune response', ' Type 3', 'Acute phase response', 'Fever']"
DC,Hepatocyte,Positive,TNFa,"[' Acute phase response', ' Fever', ' Inflammation', 'Acute phase response', 'Fever']"
DC,IEL,Positive,IL1,"[' Type 3', 'Cytotoxicity', 'Microbiome tuning of immune response']"
DC,ILC1,Positive,IL12,"[' Anti-IC bacteria', ' Antibacterial', ' Antimicrobial', ' Cytotoxicity', ' Licensing', ' Type 1', 'Antiviral']"
DC,ILC1,Positive,IL18,"[' Anti-IC bacteria', ' Antibacterial', ' Licensing', ' Type 1', 'Antiviral']"
DC,ILC3,Positive,IL1,"[' Type 3', 'Microbiome tuning of immune response', 'nan']"
DC,ILC3,Positive,IL12,"[' Anti-IC bacteria', ' Antibacterial', ' Antimicrobial', ' Cytotoxicity', ' Licensing', ' Type 1', 'Antiviral', 'Inflammation']"
DC,ILC3,Positive,IL1b,"[' Anti-EC bacteria', ' Antifungal', ' Fever', ' Inflammation', 'Acute phase response', 'Type 3']"
DC,ILC3,Positive,IL23,"[' Anti-EC bacteria', ' Antibacterial', ' Antifungal', ' Microbiome tuning of immune response', 'Type 3']"
DC,LTi,Positive,IL23,"[' Anti-EC bacteria', ' Antibacterial', ' Antifungal', ' Microbiome tuning of immune response', 'Anti-EC bacteria', 'Type 3']"
DC,Macrophage,Negative,IL10,"[' Anti-inflammatory', ' Immunosuppression', ' Tolerance', 'Anti-inflammatory', 'Chronic antigen stimulation']"
DC,Macrophage,Negative,TGFb,"['Tolerance', 'nan']"
DC,Macrophage,Positive,CXCL8,"['Antibacterial', 'Inflammation']"
DC,Macrophage,Positive,IL1,"[' Inflammation', ' Type 3', 'Antibacterial', 'Microbiome tuning of immune response']"
DC,Macrophage,Positive,IL1b,"[' Fever', ' Inflammation', 'Acute phase response', 'nan']"
DC,Macrophage,Positive,IL4,"[' Antiparasitic', ' Tissue remodeling', 'Type 2', 'nan']"
DC,Macrophage,Positive,IL6,"[' Antibody production', ' Fever', ' Microbiome tuning of immune response', ' Type 3', 'Acute phase response', 'Antibacterial']"
DC,Macrophage,Positive,TNFa,"[' Anti-IC bacteria', ' Antiviral', ' Fever', ' Inflammation', 'Acute phase response', 'Type 1']"
DC,Mast,Positive,IL10,"[' Immunosuppression', ' Tolerance', 'Anti-inflammatory', 'nan']"
DC,Mast,Positive,IL4,"['Antiparasitic', 'nan']"
DC,Monocyte,Negative,IL37,['nan']
DC,Monocyte,Positive,CXCL8,['Inflammation']
DC,Monocyte,Positive,IFNa,"[' Antigen presentation', 'Antiviral', 'nan']"
DC,Monocyte,Positive,IL1,"[' Type 3', 'Inflammation', 'Microbiome tuning of immune response']"
DC,Monocyte,Positive,IL6,"[' Antibody production', ' Fever', ' Microbiome tuning of immune response', ' Type 3', 'Acute phase response', 'Inflammation']"
DC,Monocyte,Positive,TNFa,"[' Anti-IC bacteria', ' Fever', ' Inflammation', 'Acute phase response', 'Type 1']"
DC,NK,Positive,CCL21,['nan']
DC,NK,Positive,IFNa,"[' Antigen presentation', ' Cytotoxicity', 'Antiviral']"
DC,NK,Positive,IL12,"[' Anti-IC bacteria', ' Antibacterial', ' Antimicrobial', ' Antiviral', ' Cytotoxicity', ' Licensing', ' Type 1', 'Antiviral', 'Cytotoxicity']"
DC,NK,Positive,IL18,"[' Anti-IC bacteria', ' Antibacterial', ' Licensing', ' Type 1', 'Antiviral', 'Type 1']"
DC,Neutrophil,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', ' Antifungal', ' Complement', ' Inflammation', 'Anti-EC bacteria', 'Inflammation']"
DC,Neutrophil,Positive,IL1,"[' Type 3', 'Antibacterial', 'Microbiome tuning of immune response']"
DC,Neutrophil,Positive,IL18,"[' Anti-IC bacteria', ' Antibacterial', ' Licensing', ' Type 1', 'Antibacterial', 'Antiviral']"
DC,Neutrophil,Positive,TGFb,"['Tolerance', 'nan']"
DC,T_CD4,Negative,IL10,"[' Immunosuppression', ' Tolerance', 'Anti-inflammatory', 'Immunosuppression']"
DC,T_CD4,Negative,IL27,"['Immunosuppression', 'nan']"
DC,T_CD4,Negative,TGFb,"['Immunosuppression', 'Tolerance']"
DC,T_CD4,Positive,CCL19,"['LN development', 'nan']"
DC,T_CD4,Positive,CCL21,['nan']
DC,T_CD4_memory,Positive,IL23,"[' Anti-EC bacteria', ' Antibacterial', ' Antifungal', ' Microbiome tuning of immune response', 'Type 3', 'nan']"
DC,T_CD8,Positive,CCL19,"['LN development', 'nan']"
DC,T_CD8,Positive,CCL21,['nan']
DC,T_CD8,Positive,IL12,"[' Anti-IC bacteria', ' Antibacterial', ' Antimicrobial', ' Antiviral', ' Cytotoxicity', ' Licensing', ' Type 1', 'Antiviral', 'Licensing']"
DC,T_CD8,Positive,IL18,"[' Anti-IC bacteria', ' Antibacterial', ' Antiviral', ' Licensing', ' Type 1', 'Antiviral', 'Licensing']"
DC,T_CD8_memory,Positive,TGFb,"['Tolerance', 'nan']"
DC,T_reg,Negative,IL1,"[' Type 3', 'Microbiome tuning of immune response', 'nan']"
DC,T_reg,Negative,IL6,"[' Antibody production', ' Fever', ' Microbiome tuning of immune response', ' Type 3', 'Acute phase response', 'nan']"
DC,T_reg,Positive,IL10,"[' Immunosuppression', ' Tolerance', 'Anti-inflammatory', 'Tolerance']"
DC,T_reg,Positive,TGFb,"['Immunosuppression', 'Tolerance']"
DC,Tfh,Positive,CXCL13,"['Microbiome tuning of immune response', 'nan']"
DC,Th1,Negative,TGFb,"['Immunosuppression', 'Tolerance']"
DC,Th1,Positive,IL12,"[' Anti-IC bacteria', ' Antibacterial', ' Antimicrobial', ' Cytotoxicity', ' Inflammation', ' Licensing', ' Type 1', 'Antiviral', 'Type 1']"
DC,Th1,Positive,IL18,"[' Anti-IC bacteria', ' Antibacterial', ' Licensing', ' Type 1', 'Antiviral', 'nan']"
DC,Th1,Positive,IL23,"[' Anti-EC bacteria', ' Antibacterial', ' Antifungal', ' Inflammation', ' Microbiome tuning of immune response', 'Antimicrobial', 'Type 3']"
DC,Th17,Positive,IL1,"[' Type 3', 'Microbiome tuning of immune response', 'nan']"
DC,Th17,Positive,IL23,"[' Anti-EC bacteria', ' Antibacterial', ' Antifungal', ' Microbiome tuning of immune response', 'Type 3', 'nan']"
DC,Th17,Positive,IL6,"[' Antibody production', ' Fever', ' Microbiome tuning of immune response', ' Type 3', 'Acute phase response', 'nan']"
DC,Th2,Negative,TGFb,"['Immunosuppression', 'Tolerance']"
DC,Th2,Positive,IL4,['nan']
DC,pDC,Positive,IFNa,"[' Antigen presentation', ' Antiviral', 'Antibacterial', 'Antiviral']"
DC,pDC,Positive,IL12,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antimicrobial', ' Antiviral', ' Cytotoxicity', ' Licensing', ' Type 1', 'Antibacterial', 'Antiviral']"
DC,pDC,Positive,IL18,"[' Anti-IC bacteria', ' Antibacterial', ' Antigen presentation', ' Antiviral', ' Licensing', ' Type 1', 'Antibacterial', 'Antiviral']"
DC,pDC,Positive,IL6,"[' Antibody production', ' Antigen presentation', ' Antiviral', ' Fever', ' Microbiome tuning of immune response', ' Type 3', 'Acute phase response', 'Antibacterial']"
Endothelial,B,Positive,CCL21,['LN development']
Endothelial,B,Positive,CCL25,['nan']
Endothelial,B,Positive,CCL4,"['Antiviral', 'nan']"
Endothelial,B,Positive,IL6,"[' Antibody production', ' Fever', 'Acute phase response', 'Antibody production', 'Class switching']"
Endothelial,Basophil,Positive,CCL4,"['Antiviral', 'nan']"
Endothelial,Basophil,Positive,CCL5,"[' Type 2', 'Inflammation']"
Endothelial,Basophil,Positive,CXCL8,"[' Angiogenesis', 'Inflammation', 'nan']"
Endothelial,Basophil,Positive,IL3,"['Hematopoiesis', 'Inflammation']"
Endothelial,DC,Positive,CCL17,['nan']
Endothelial,DC,Positive,CCL21,"['Antigen presentation', 'LN development']"
Endothelial,DC,Positive,CCL25,['nan']
Endothelial,DC,Positive,CCL4,['Antiviral']
Endothelial,DC,Positive,CCL5,['Inflammation']
Endothelial,DC,Positive,CX3CL1,"['Inflammation', 'nan']"
Endothelial,DC,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Endothelial,DC,Positive,CXCL2,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Endothelial,Endothelial,Positive,CXCL8,"[' Angiogenesis', 'Inflammation', 'nan']"
Endothelial,Eosinophil,Positive,CCL4,"['Antibacterial', 'Antiviral']"
Endothelial,Eosinophil,Positive,CCL5,"[' Antibacterial', ' Type 2', 'Inflammation', 'nan']"
Endothelial,Eosinophil,Positive,IL3,"[' Inflammation', 'Allergic Inflammation', 'Hematopoiesis']"
Endothelial,Fibroblast,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Endothelial,Fibroblast,Positive,CXCL2,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Endothelial,Fibroblast,Positive,CXCL3,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Endothelial,Fibroblast,Positive,IL6,"[' Fever', 'Acute phase response', 'nan']"
Endothelial,Hematopoietic,Positive,IL3,"['Hematopoiesis', 'nan']"
Endothelial,Hepatocyte,Positive,IL6,"[' Fever', 'Acute phase response', 'Fever']"
Endothelial,IEL,Positive,CCL25,['nan']
Endothelial,ILC2,Positive,IL33,"[' Antiparasitic', ' Barrier immunity', 'Type 2', 'nan']"
Endothelial,Macrophage,Positive,CCL25,['nan']
Endothelial,Macrophage,Positive,CCL4,"['Antiviral', 'nan']"
Endothelial,Macrophage,Positive,CCL5,"['Inflammation', 'Type 2', 'nan']"
Endothelial,Macrophage,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Antibacterial', 'Inflammation']"
Endothelial,Macrophage,Positive,CXCL8,"[' Angiogenesis', 'Antibacterial', 'Inflammation']"
Endothelial,Macrophage,Positive,IL6,"[' Fever', 'Acute phase response', 'Antibacterial']"
Endothelial,Macrophage,Positive,MIF,['nan']
Endothelial,Mast,Positive,CX3CL1,"['Inflammation', 'nan']"
Endothelial,Mast,Positive,IL3,"[' Inflammation', ' Type 2', 'Antiparasitic', 'Hematopoiesis']"
Endothelial,Mast,Positive,IL33,"['Antiparasitic', 'nan']"
Endothelial,Microglia,Positive,CX3CL1,"['Inflammation', 'nan']"
Endothelial,Monocyte,Positive,CCL4,"[' Antibacterial', 'Antiviral']"
Endothelial,Monocyte,Positive,CCL5,"[' Antibacterial', 'Inflammation']"
Endothelial,Monocyte,Positive,CX3CL1,['Inflammation']
Endothelial,Monocyte,Positive,CXCL8,"[' Angiogenesis', 'Inflammation']"
Endothelial,Monocyte,Positive,IL6,"[' Fever', 'Acute phase response', 'Inflammation']"
Endothelial,NK,Positive,CCL21,"['LN development', 'nan']"
Endothelial,NK,Positive,CCL4,['Antiviral']
Endothelial,NK,Positive,CCL5,['Inflammation']
Endothelial,NK,Positive,CX3CL1,"['Inflammation', 'nan']"
Endothelial,NK,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Endothelial,NK,Positive,CXCL2,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Endothelial,Neutrophil,Positive,CX3CL1,"['Inflammation', 'nan']"
Endothelial,Neutrophil,Positive,CXCL1,"[' Angiogenesis', ' Fibroplasia', 'Antibacterial', 'Inflammation']"
Endothelial,Neutrophil,Positive,CXCL2,"[' Angiogenesis', ' Antifungal', ' Fibroplasia', 'Anti-EC bacteria', 'Inflammation']"
Endothelial,Neutrophil,Positive,CXCL3,"[' Angiogenesis', ' Fibroplasia', 'Inflammation', 'nan']"
Endothelial,Neutrophil,Positive,CXCL8,"[' Angiogenesis', ' Antibacterial', ' Antifungal', ' Complement', ' Inflammation', 'Anti-EC bacteria', 'Inflammation']"
Endothelial,T_CD4,Positive,CCL21,"['LN development', 'nan']"
Endothelial,T_CD4,Positive,IL7,['nan']
Endothelial,T_CD4_memory,Positive,IL7,['nan']
Endothelial,T_CD8,Positive,CCL21,"['LN development', 'nan']"
Endothelial,T_CD8,Positive,IL7,['nan']
Endothelial,T_CD8_memory,Positive,IL7,['nan']
Endothelial,T_reg,Negative,IL6,"[' Fever', 'Acute phase response', 'nan']"
Endothelial,T_reg,Positive,CCL17,['nan']
Endothelial,Th1,Positive,CCL4,"['Antiviral', 'nan']"
Endothelial,Th1,Positive,CCL5,"['Inflammation', 'nan']"
Endothelial,Th17,Positive,IL6,"[' Fever', 'Acute phase response', 'nan']"
Endothelial,Th2,Positive,CCL17,['nan']
Endothelial,Th2,Positive,CCL5,"['Inflammation', 'Type 2']"
Endothelial,Th2,Positive,IL33,"[' Type 2', 'Antiparasitic', 'nan']"
Endothelial,pDC,Positive,IL6,"[' Antigen presentation', ' Antiviral', ' Fever', 'Acute phase response', 'Antibacterial']"
Eosinophil,B,Positive,APRIL,"[' Class switching', ' Tolerance', 'Class switching', 'T independent B activation/IgA production']"
Eosinophil,B,Positive,IL4,"[' Type 2', 'Antiparasitic', 'nan']"
Eosinophil,B,Positive,IL5,"['Class switching', 'nan']"
Eosinophil,B,Positive,IL6,"[' Antibody production', ' Class switching', ' Tolerance', 'Antibody production', 'Class switching', 'T independent B activation/IgA production']"
Eosinophil,Basophil,Positive,CXCL8,"['Inflammation', 'nan']"
Eosinophil,Basophil,Positive,GMCSF,"['Inflammation', 'nan']"
Eosinophil,Basophil,Positive,IL3,"['Inflammation', 'nan']"
Eosinophil,Basophil,Positive,IL4,"[' Type 2', 'Antiparasitic']"
Eosinophil,Basophil,Positive,IL5,"[' Antiparasitic', ' Inflammation', 'Type 2', 'nan']"
Eosinophil,Basophil,Positive,Leukotrienes,"[' Barrier immunity', ' Vascular permeability increase', 'Inflammation', 'nan']"
Eosinophil,Basophil,Positive,Major basic protein,"[' Inflammation', ' Type 2', 'Antiparasitic', 'Inflammation']"
Eosinophil,Basophil,Positive,Prostaglandins,"[' Allergic Inflammation', ' Antiparasitic', ' Inflammation', 'Inflammation', 'Type 2']"
Eosinophil,Endothelial,Positive,CXCL8,"['Inflammation', 'nan']"
Eosinophil,Endothelial,Positive,Leukotrienes,"[' Barrier immunity', ' Vascular permeability increase', 'Inflammation']"
Eosinophil,Endothelial,Positive,Prostaglandins,"[' Vascular permeability increase', 'Inflammation']"
Eosinophil,Eosinophil,Positive,GMCSF,"[' Inflammation', 'Allergic Inflammation', 'nan']"
Eosinophil,Eosinophil,Positive,IL16,['nan']
Eosinophil,Eosinophil,Positive,IL3,"[' Inflammation', 'Allergic Inflammation', 'nan']"
Eosinophil,Eosinophil,Positive,IL5,"[' Antiparasitic', ' Inflammation', ' Type 2', 'Allergic Inflammation', 'Antiparasitic', 'nan']"
Eosinophil,Eosinophil,Positive,Leukotrienes,"[' Barrier immunity', ' Vascular permeability increase', 'Inflammation', 'nan']"
Eosinophil,Eosinophil,Positive,Platelet-Activating Factor,"[' Barrier immunity', 'Vascular permeability increase', 'nan']"
Eosinophil,Eosinophil,Positive,Prostaglandins,"[' Allergic Inflammation', ' Antiparasitic', ' Inflammation', 'Inflammation', 'Type 2']"
Eosinophil,Eosinophil,Positive,TGFa,['nan']
Eosinophil,Eosinophil,Positive,TGFb,"[' Class switching', ' Tolerance', 'T independent B activation/IgA production', 'nan']"
Eosinophil,Fibroblast,Positive,IL6,"[' Class switching', ' Tolerance', 'T independent B activation/IgA production', 'nan']"
Eosinophil,Hematopoietic,Positive,IL3,['nan']
Eosinophil,Hepatocyte,Positive,IL6,"[' Class switching', ' Tolerance', 'Fever', 'T independent B activation/IgA production']"
Eosinophil,ILC3,Positive,Kynurenine,"['Allergic Inflammation', 'nan']"
Eosinophil,Macrophage,Negative,TGFb,"[' Class switching', ' Tolerance', 'T independent B activation/IgA production', 'nan']"
Eosinophil,Macrophage,Positive,CXCL8,"['Antibacterial', 'Inflammation']"
Eosinophil,Macrophage,Positive,IL4,"[' Antiparasitic', ' Tissue remodeling', ' Type 2', 'Antiparasitic', 'Type 2']"
Eosinophil,Macrophage,Positive,IL6,"[' Class switching', ' Tolerance', 'Antibacterial', 'T independent B activation/IgA production']"
