"ImmuneProcesses","interaction","JanewayReferences","name","selected","shared interaction","shared name","SourceReceptors","TargetReceptors"
"Acute phase response, Fever","Secrete","811: Table Appendix III","B (Secrete) IL6","false","Secrete","B (Secrete) IL6","",""
"Cytotoxicity, LN development","Secrete","813: Table Appendix III","B (Secrete) LTa","false","Secrete","B (Secrete) LTa","",""
"LN development","Secrete","813: Table Appendix III","B (Secrete) LTb","false","Secrete","B (Secrete) LTb","",""
"Antibody production","Activate","406: Activated B cells express ICOSL, a member of the B7 family of co-stimulatory molecules and a ligand for ICOS (inducible co-stimulatory protein), which is expressed by T cells. This T- and B-cell interaction, provided by linked recognition, activates ICOS signaling in T cells and is important for the completion of TFH differentiation (see Section 7-21), leading to induction of the transcription factors Bcl-6 and c-Maf.; 30: CD4 T cells recognize antigen presented by MHC class II proteins, which are expressed by the predominant antigen-presenting cells of the immune system: dendritic cells, macrophages, and B cells; 166: When previously activated CD4 T cells recognize peptides bound to MHC class II molecules on B cells, the T cells secrete cytokines that can influence the isotype of antibody that those B cells will choose to produce.; 216: In B cells, antigen presentation may serve to recruit help from CD4 T cells that recognize the same protein antigen as the B cell. By efficiently endocytosing a specific antigen via their surface immunoglobulin and presenting the antigen-derived peptides on MHC class II molecules, B cells can activate CD4 T cells that will in turn serve as helper T cells for the production of antibodies against that antigen.; 223: The immunological function of MHC class II molecules is to bind peptides generated in the intracellular vesicles of dendritic cells, macrophages, and B cells, and to present these peptides to CD4 T cells. The purpose for this pathway is different for each cell type. Dendritic cells primarily are concerned with activating CD4 T cells, while macrophages and B cells are concerned with receiving various forms of help from these CD4 T cells.; 401: This occurs when antigen bound by surface immunoglobulin on the B cell is internalized and degraded within the B cell and peptides derived from it are returned to the cell surface in a complex with MHC class II molecules (see Fig. 10.2, first panel). When the TFH cell recognizes these peptide:MHC complexes, it provides the B cell with signals that favor survival and induce proliferation. These signals include the activation of CD40 on B cells by TFH expression of its ligand, CD40L (CD154), and production of various cytokines by TFH cells, including IL-21 (Fig. 10.3).; 421: Helper T cells recognize peptide fragments derived from the antigen internalized by the B cells and displayed by the B cells as peptide:MHC class II complexes.; 421: Activated B cells also express molecules, such as ICOSL, that can stimulate T cells; 282: One key function of the immune synapse in B cells is to promote antigen uptake by the B cell, a prerequisite to presenting that antigen in the form of peptide:MHC complexes to CD4 T cells.; 402: When these TFH cells are activated by B cells presenting their peptide, they are stimulated to provide specific signals that help B cells to generate antibodies against the viral coat protein (Fig. 10.4).; 476: Memory B cells express somewhat higher levels of MHC class II molecules and the co-stimulatory ligand B7.1 than do naive B cells. This helps memory B cells acquire and present antigen more efficiently to TFH cells compared with naive B cells, and to TFH cells through the B7.1 receptor CD28, so that they can in turn help in antibody production so it begins earlier after antigen exposure compared with primary responses.; 476: As in primary responses, secondary B-cell responses begin at the interface between the T-cell and B-cell zones, where memory B cells that have acquired antigen can present peptide:MHC class II complexes to helper T cells. This interaction initiates proliferation of both the B cells and T cells.","B (Activate) Tfh","false","Activate","B (Activate) Tfh","ICOSL, MHCII, B7","ICOS, TCR, CD28"
"Antibody production","Inhibit","408: Recent evidence indicates that even the low level of MHC class II molecules expressed on plasma cells functions to present cognate antigen to TFH cells, and acts to suppress IL-21 production and Bcl-6 expression, thus acting as a feedback pathway to regulate ongoing B-cell responses.","B (Inhibit) Tfh","false","Inhibit","B (Inhibit) Tfh","MHCII",""
"Antibacterial","Kill","100: For inflammasome activation to produce inflammatory cytokines, a priming step must irst occur in which cells induce and translate the mRNAs that encode the pro-forms of IL-1ß, IL-18, or other cytokines. This priming step can result from TLR signaling, which may help ensure that inflammasome activation proceeds primarily during infections...  Several other NLR family members form inflammasomes with ASC and caspase 1 that activate these pro-inflammatory cytokines. NLRP1 is highly expressed in monocytes and dendritic cells and is activated directly by MDP, similar to NOD2, but can also be activated by other factors. For example, Bacillus anthracis expresses an endopeptidase, called anthrax lethal factor, which allows the pathogen to evade the immune system by killing macrophages. Lethal factor does this by cleaving NLRP1, activating an NLRP1 inflammasome and inducing pyroptosis in the infected macrophages.  (p97: ""...muramyl dipeptide (MDP), which is present in the peptidoglycans of most bacteria"")","Anthrax lethal factor (Kill) Macrophage","false","Kill","Anthrax lethal factor (Kill) Macrophage","","NLRP1"
"","Secrete","46: Epithelial cells secrete these peptides into the fluids bathing the mucosal surface, whereas phagocytes secrete them in tissues. Three important classes of antimicrobial peptides in mammals are defensins, cathelicidins, and histatins.","Macrophage (Secrete) Antimicrobial peptides","false","Secrete","Macrophage (Secrete) Antimicrobial peptides","",""
"Class switching","Secrete","545: TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3).","Macrophage (Secrete) APRIL","false","Secrete","Macrophage (Secrete) APRIL","",""
"Class switching","Secrete","545: TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3).","Macrophage (Secrete) BAFF","false","Secrete","Macrophage (Secrete) BAFF","",""
"Phagocytosis","Secrete","47: The antimicrobial peptides belonging to the cathelicidin family lack the disulfide bonds that stabilize the defensins. Humans and mice have one cathelicidin gene, but some other mammals, including cattle and sheep, have several. Cathelicidins are made constitutively by neutrophils and macrophages, and are made in response to infection by keratinocytes in the skin and epithelial cells in the lungs and intestine.; 83: Table Figure 3.4","Macrophage (Secrete) Cathelicidins","false","Secrete","Macrophage (Secrete) Cathelicidins","",""
"Inflammation, Type 2","Secrete","112: Table Figure 3.28","Macrophage (Secrete) CCL2","false","Secrete","Macrophage (Secrete) CCL2","",""
"Antiviral","Secrete","112: Table Figure 3.28","Macrophage (Secrete) CCL4","false","Secrete","Macrophage (Secrete) CCL4","",""
"Antibacterial, Inflammation, Angiogenesis","Secrete","516: TLR-5 expressed by the epithelial basal membrane can bind salmonella flagellin, activating the NF<U+03BA>B pathway. After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit; 111: Important cytokines and chemokines secreted by dendritic cells and macrophages in response to bacterial products include IL-1ß, IL-6, CXCL8, IL-12, and TNF-a. TnF-a is an inducer of a local inlammatory response that helps to contain infections. It also has systemic effects, many of which are harmful (discussed in Section 3-20). The chemokine CXCL8 is also involved in the local inlammatory response, helping to attract neutrophils to the site of infection. IL-1ß, IL-6, and TnF-a have a crucial role in inducing the acute-phase response in the liver and inducing fever, which favors effective host defense in various ways. IL-12 activates natural killer (nK) cells and favors the differentiation of CD4 T cells into the TH1 subset in adaptive immunity.  And figure 3.27; 112: Table Figure 112; 117: CXCL8 is released by the macrophages that first encounter pathogens; it recruits neutrophils, which enter the infected tissue in large numbers in the early part of the induced response.","Macrophage (Secrete) CXCL8","false","Secrete","Macrophage (Secrete) CXCL8","",""
"Hematopoiesis","Secrete","811: Table Appendix III","Macrophage (Secrete) GMCSF","false","Secrete","Macrophage (Secrete) GMCSF","",""
"Antibacterial, Inflammation","Secrete","516: TLR-5 expressed by the epithelial basal membrane can bind salmonella flagellin, activating the NF<U+03BA>B pathway. After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit; 633: Figure 14.22; 668: Autoreactive effector CD4 T cells activate macrophages, and pro-inflammatory cytokines such as IL-1, IL-6, IL-17, and TNF-a are produced.","Macrophage (Secrete) IL1","false","Secrete","Macrophage (Secrete) IL1","",""
"Tolerance, Immunosuppression","Secrete","505: The anti-inflammatory behavior of mucosal dendritic cells in the healthy gut is promoted by factors that are constitutively produced in the mucosal environment. These include thymic stromal lymphopoietin (TSLP), TGF-ß produced by dendritic and epithelial cells, prostaglandin PGE2 produced by stromal cells, and IL-10 produced by intestinal macrophages and CD4 T cells.; 505: However, unlike macrophages in other parts of the body, intestinal macrophages do not produce significant quantities of inflammatory cytokines or reactive oxygen or nitrogen species in response to phagocytosis or exposure to stimuli such as bacteria or TLR ligands. This is because they produce large amounts of IL-10 constitutively, allowing them to limit inflammation while acting as powerful scavengers.; 514: Tissue-resident intestinal macrophages contribute to these regulatory processes by phagocytosing antigens without causing inflammation, due to their production of IL-10.; 811: Table Appendix III","Macrophage (Secrete) IL10","false","Secrete","Macrophage (Secrete) IL10","",""
"Antiviral, Anti-IC bacteria, Cytotoxicity, Type 1, Antibacterial","Secrete","111: Important cytokines and chemokines secreted by dendritic cells and macrophages in response to bacterial products include IL-1ß, IL-6, CXCL8, IL-12, and TNF-a. TnF-a is an inducer of a local inlammatory response that helps to contain infections. It also has systemic effects, many of which are harmful (discussed in Section 3-20). The chemokine CXCL8 is also involved in the local inlammatory response, helping to attract neutrophils to the site of infection. IL-1ß, IL-6, and TnF-a have a crucial role in inducing the acute-phase response in the liver and inducing fever, which favors effective host defense in various ways. IL-12 activates natural killer (nK) cells and favors the differentiation of CD4 T cells into the TH1 subset in adaptive immunity.  And figure 3.27; 122: Group 1 ILCs (ILC1s) generate IFN-<U+03B3> in response to activation by certain cytokines, in particular IL-12 and IL-18, made by dendritic cells and macrophages, and they function in protection against infection by viruses or intracellular pathogens.; 125: NK cells that can kill sensitive targets can be isolated from uninfected individuals, but this activity is increased 20- to 100-fold when NK cells are exposed to IFN-a and IFN-ß, or to IL-12, a cytokine produced by dendritic cells and macrophages during infection by many types of pathogens.; 376: These T cells are now committed to becoming TH1 cells, and can be further activated by IL-12 produced by dendritic cells and macrophages to induce STAT4 signaling.; 378: Thus, certain intracellular bacterial infections (for example, mycobacteria and Listeria) induce dendritic cells and macrophages to produce IL-12, favoring the emergence of TH1 effector cells.; 451: Thus, through their production of IL-12 and IL-18, macrophages can rapidly induce ILC1 production of IFN-<U+03B3>, which acts back on the macrophage to induce its heightened killing of intracellular pathogens several days prior to the development and recruitment of TH1 cells.; 451: As discussed in Chapter 3, ILC1s and related NK cells are characterized by their production of IFN-<U+03B3> in response to IL-12 and IL-18 produced by pathogen-activated dendritic cells and macrophages.; 544: Figure 13.5; 811: Table Appendix III","Macrophage (Secrete) IL12","false","Secrete","Macrophage (Secrete) IL12","",""
"","Secrete","668: Autoreactive effector CD4 T cells activate macrophages, and pro-inflammatory cytokines such as IL-1, IL-6, IL-17, and TNF-a are produced.","Macrophage (Secrete) IL17A","false","Secrete","Macrophage (Secrete) IL17A","",""
"Antibacterial, Antiviral, Anti-IC bacteria, Type 1","Secrete","516: TLR-5 expressed by the epithelial basal membrane can bind salmonella flagellin, activating the NF<U+03BA>B pathway. After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit; 108: As discussed earlier, mature IL-1ß and IL-18 are produced by macrophages through the action of caspase 1 in response to TLR signaling and inflammasome activation.; 122: Group 1 ILCs (ILC1s) generate IFN-<U+03B3> in response to activation by certain cytokines, in particular IL-12 and IL-18, made by dendritic cells and macrophages, and they function in protection against infection by viruses or intracellular pathogens.; 126: IL-12, acting in synergy with the cytokine IL-18 produced by activated macrophages, can also stimulate NK cells to secrete large amounts of interferon (IFN)-<U+03B3>, and this is crucial in controlling some infections before the IFN-<U+03B3> produced by activated CD8 cytotoxic T cells becomes available.; 451: Thus, through their production of IL-12 and IL-18, macrophages can rapidly induce ILC1 production of IFN-<U+03B3>, which acts back on the macrophage to induce its heightened killing of intracellular pathogens several days prior to the development and recruitment of TH1 cells.; 451: As discussed in Chapter 3, ILC1s and related NK cells are characterized by their production of IFN-<U+03B3> in response to IL-12 and IL-18 produced by pathogen-activated dendritic cells and macrophages.; 812: Table Appendix III","Macrophage (Secrete) IL18","false","Secrete","Macrophage (Secrete) IL18","TLR",""
"Fever","Secrete","108: As discussed earlier, mature IL-1ß and IL-18 are produced by macrophages through the action of caspase 1 in response to TLR signaling and inflammasome activation.; 811: Table Appendix III","Macrophage (Secrete) IL1a","false","Secrete","Macrophage (Secrete) IL1a","TLR",""
"Acute phase response, Fever, Inflammation","Secrete","111: Important cytokines and chemokines secreted by dendritic cells and macrophages in response to bacterial products include IL-1ß, IL-6, CXCL8, IL-12, and TNF-a. TnF-a is an inducer of a local inlammatory response that helps to contain infections. It also has systemic effects, many of which are harmful (discussed in Section 3-20). The chemokine CXCL8 is also involved in the local inlammatory response, helping to attract neutrophils to the site of infection. IL-1ß, IL-6, and TnF-a have a crucial role in inducing the acute-phase response in the liver and inducing fever, which favors effective host defense in various ways. IL-12 activates natural killer (nK) cells and favors the differentiation of CD4 T cells into the TH1 subset in adaptive immunity.  And figure 3.27; 811: Table Appendix III","Macrophage (Secrete) IL1b","false","Secrete","Macrophage (Secrete) IL1b","",""
"","Secrete","811: Table Appendix III","Macrophage (Secrete) IL1RA","false","Secrete","Macrophage (Secrete) IL1RA","",""
"","Secrete","812: Table Appendix III","Macrophage (Secrete) IL23","false","Secrete","Macrophage (Secrete) IL23","",""
"","Secrete","812: Table Appendix III","Macrophage (Secrete) IL27","false","Secrete","Macrophage (Secrete) IL27","",""
"Acute phase response, Fever, Antibody production, Antibacterial","Secrete","111: Important cytokines and chemokines secreted by dendritic cells and macrophages in response to bacterial products include IL-1ß, IL-6, CXCL8, IL-12, and TNF-a. TnF-a is an inducer of a local inlammatory response that helps to contain infections. It also has systemic effects, many of which are harmful (discussed in Section 3-20). The chemokine CXCL8 is also involved in the local inlammatory response, helping to attract neutrophils to the site of infection. IL-1ß, IL-6, and TnF-a have a crucial role in inducing the acute-phase response in the liver and inducing fever, which favors effective host defense in various ways. IL-12 activates natural killer (nK) cells and favors the differentiation of CD4 T cells into the TH1 subset in adaptive immunity.  And figure 3.27; 121: Bacteria induce macrophages to produce IL-6, which acts on hepatocytes to induce synthesis of acute-phase proteins; 811: Table Appendix III; 668: Autoreactive effector CD4 T cells activate macrophages, and pro-inflammatory cytokines such as IL-1, IL-6, IL-17, and TNF-a are produced.","Macrophage (Secrete) IL6","false","Secrete","Macrophage (Secrete) IL6","",""
"Inflammation","Secrete","86: These changes are induced by a variety of inflammatory mediators released as a consequence of the recognition of pathogens by macrophages, and later by neutrophils and other white blood cells. Macrophages and neutrophils secrete lipid mediators of inflammation—prostaglandins, leukotrienes, and platelet-activating factor (PAF)—which are rapidly produced by enzymatic pathways that degrade membrane phospholipids.","Macrophage (Secrete) Leukotrienes","false","Secrete","Macrophage (Secrete) Leukotrienes","",""
"Antibacterial, Phagocytosis","Secrete","45: One important group of antimicrobial proteins comprises enzymes that attack chemical features specific to bacterial cell walls. Such antibacterial enzymes include lysozyme and secretory phospholipase A2, which are secreted in tears and saliva and by phagocytes.; 83: Table Figure 3.4","Macrophage (Secrete) Lysozyme","false","Secrete","Macrophage (Secrete) Lysozyme","",""
"Phagocytosis","Secrete","83: Table Figure 3.4","Macrophage (Secrete) Macrophage elastase-derived peptide","false","Secrete","Macrophage (Secrete) Macrophage elastase-derived peptide","",""
"Antiparasitic, Phagocytosis, Type 1, Antimicrobial, Antibacterial, Inflammation","Secrete","464: Whereas M1 macrophages express iNOS, which produces the potent intracellular microbicide nitric oxide (NO) (see Section 3-2), M2 macrophages express arginase-1, which produces ornithine and proline from arginine.; 82: Upon phagocytosing microbes, macrophages and neutrophils produce a variety of toxic products that help to kill the engulfed microorganism (Fig. 3.4). The most important of these are the antimicrobial peptides described in Section 2-4, reactive nitrogen species such as nitric oxide (NO), and ROS, such as the superoxide anion (O2 –) and hydrogen peroxide (H2O2).; 459: This autocrine stimulus synergizes with IFN-<U+03B3> secreted by TH1 cells to induce classical, or M1, macrophage activation characterized by the production of nitric oxide (NO) and superoxide (O2 –).; 633: Figure 14.22","Macrophage (Secrete) NO","false","Secrete","Macrophage (Secrete) NO","",""
"Antiparasitic","Secrete","464: Whereas M1 macrophages express iNOS, which produces the potent intracellular microbicide nitric oxide (NO) (see Section 3-2), M2 macrophages express arginase-1, which produces ornithine and proline from arginine.","Macrophage (Secrete) Ornithine","false","Secrete","Macrophage (Secrete) Ornithine","",""
"","Secrete","813: Table Appendix III","Macrophage (Secrete) OSM","false","Secrete","Macrophage (Secrete) OSM","",""
"Inflammation","Secrete","86: These changes are induced by a variety of inflammatory mediators released as a consequence of the recognition of pathogens by macrophages, and later by neutrophils and other white blood cells. Macrophages and neutrophils secrete lipid mediators of inflammation—prostaglandins, leukotrienes, and platelet-activating factor (PAF)—which are rapidly produced by enzymatic pathways that degrade membrane phospholipids.","Macrophage (Secrete) Platelet-Activating Factor","false","Secrete","Macrophage (Secrete) Platelet-Activating Factor","",""
"Antiparasitic","Secrete","464: Whereas M1 macrophages express iNOS, which produces the potent intracellular microbicide nitric oxide (NO) (see Section 3-2), M2 macrophages express arginase-1, which produces ornithine and proline from arginine.","Macrophage (Secrete) Proline","false","Secrete","Macrophage (Secrete) Proline","",""
"Inflammation","Secrete","86: These changes are induced by a variety of inflammatory mediators released as a consequence of the recognition of pathogens by macrophages, and later by neutrophils and other white blood cells. Macrophages and neutrophils secrete lipid mediators of inflammation—prostaglandins, leukotrienes, and platelet-activating factor (PAF)—which are rapidly produced by enzymatic pathways that degrade membrane phospholipids.","Macrophage (Secrete) Prostaglandins","false","Secrete","Macrophage (Secrete) Prostaglandins","",""
"Phagocytosis, Inflammation","Secrete","82: Upon phagocytosing microbes, macrophages and neutrophils produce a variety of toxic products that help to kill the engulfed microorganism (Fig. 3.4). The most important of these are the antimicrobial peptides described in Section 2-4, reactive nitrogen species such as nitric oxide (NO), and ROS, such as the superoxide anion (O2–) and hydrogen peroxide (H2O2).","Macrophage (Secrete) ROS","false","Secrete","Macrophage (Secrete) ROS","",""
"Antimicrobial","Secrete","45: One important group of antimicrobial proteins comprises enzymes that attack chemical features specific to bacterial cell walls. Such antibacterial enzymes include lysozyme and secretory phospholipase A2, which are secreted in tears and saliva and by phagocytes.","Macrophage (Secrete) Secretory phospholipase A2","false","Secrete","Macrophage (Secrete) Secretory phospholipase A2","",""
"Type 1, Antimicrobial","Secrete","459: This autocrine stimulus synergizes with IFN-<U+03B3> secreted by TH1 cells to induce classical, or M1, macrophage activation characterized by the production of nitric oxide (NO) and superoxide (O2 –).","Macrophage (Secrete) Superoxide","false","Secrete","Macrophage (Secrete) Superoxide","",""
